物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
近青埔國中公園綠地環繞大坪數寬敞空間美透店,桃園市中壢區民權路四段,透天厝,18.9年,87.49,5房(室)2廳6衛,1~5/5樓,"3,880 萬"
觀音區育仁國小東元電機蓮花園美田,桃園市觀音區育仁段,土地,N/A,--,#NAME?,#NAME?,"1,160 萬"
近中壢工業區南園二路稀有邊間大透天別墅,桃園市中壢區南園二路,別墅,22.4年,69.31,5房(室)3廳3衛,1~4/4樓,"2,568 萬"
中路重劃區旁仁愛路邊間土地26坪UP透天買地送屋,桃園市桃園區仁愛路,透天厝,49.9年,19.61,#NAME?,1~2/2樓,"1,580 萬"
公園景觀凰璽3+1房車~邊間雙主臥規劃~三車位,桃園市桃園區中正路,電梯大樓,11.8年,97.4,4房(室)2廳2衛,16/21樓,"4,188 萬"
A7【維特魯威】頂樓景觀兩房車位,桃園市龜山區文桃路,電梯大樓,0.8年,43.02,2房(室)2廳1衛,28/28樓,"1,888 萬"
中壢近機捷A21商圈法國香榭三房,桃園市中壢區環西路二段,電梯大樓,16.3年,31.41,3房(室)2廳2衛,2/15樓,"1,098 萬"
中壢近機捷A21商圈法國香榭三房,桃園市中壢區環西路二段,電梯大樓,16.3年,31.41,3房(室)2廳2衛,2/15樓,"1,098 萬"
青埔A18(站前新銳)超值事務所,桃園市中壢區青心路,電梯大樓,1.3年,27.18,--房(室)1廳1衛,4/19樓,"1,366 萬"
竹城橫濱三房車位.次頂樓景觀美宅免整理,桃園市桃園區大業路二段,電梯大樓,14.5年,49.09,3房(室)2廳2衛,11/12樓,"1,658 萬"
鼎藏大硯2邊間房採光佳景觀戶兩房車可以買,桃園市楊梅區青山一街,電梯大樓,6.4年,37.5,2房(室)2廳1衛,8/15樓,998 萬
大園客運園區璟都麗緻3房車附約定專用大露台,桃園市大園區環區北路,電梯大樓,1.3年,39.46,3房(室)2廳2衛,2/15樓,"1,288 萬"
桃園愛買旁合勤鼎盛優質大商辦附4平車,桃園市桃園區國豐五街,華廈,6.0年,145.81,#NAME?,5/10樓,"4,880 萬"
龍潭百年大鎮透天住店~住店合一好利用,桃園市龍潭區中豐路,透天厝,28.7年,100.63,3房(室)2廳4衛,B1~4/4樓,"2,688 萬"
A7【頤昌豐岳】變二橋｜邊間三房平面車位,桃園市龜山區牛角坡路,電梯大樓,3.7年,49.25,3房(室)2廳2衛,8/15樓,"2,280 萬"
L600火車站前商圈 遠東貴族水噹噹電梯三室,桃園市桃園區安東街,華廈,33.5年,35.01,#NAME?,2/9樓,"1,050 萬"
A21重劃區旁忠福雙店面電梯別墅,桃園市中壢區福州一街,透天厝,23.8年,125.88,5房(室)2廳6衛,1~4/4樓,"6,500 萬"
平鎮桃花莊大面寬全新整美透天(2)),桃園市平鎮區太平西路,透天厝,44.7年,28.09,3房(室)2廳2衛,1~2/2樓,"1,098 萬"
平鎮桃花莊全新裝潢美透天-免整理面寬,桃園市平鎮區太平西路,透天厝,44.7年,26.14,3房(室)2廳2衛,1~2/2樓,"1,098 萬"
過嶺重劃區 高誠森仰三房車 近好市多 桃園高鐵站,桃園市中壢區松勇一街,電梯大樓,10.5年,50.94,3房(室)2廳2衛,2/13樓,"1,398 萬"
傳家寶花園別墅/挑高大五房室內停車/輕屋齡,桃園市新屋區校前一街,別墅,7.3年,85.15,5房(室)3廳4衛,1~5/5樓,"2,280 萬"
大有商圈低總價成家首選羅丹一期美2房,桃園市桃園區大有路,電梯大樓,32.2年,23.21,2房(室)1廳1衛,9/16樓,888 萬
大竹全新獨棟鋼構挑高透店前後花園,桃園市蘆竹區大興七街,透天厝,0.7年,24.55,#NAME?,1/1樓,"2,680 萬"
大有宜誠金品鑽石區 鬧中取靜美別墅,桃園市桃園區民有東路,別墅,20.9年,82.08,4房(室)2廳3衛,1~3/3樓,"2,988 萬"
大園客運重劃區璟都悅全新景觀三房車,桃園市大園區溪福路,電梯大樓,0.7年,46.56,3房(室)2廳2衛,11/14樓,"1,550 萬"
銘傳老闆挑高樓中樓套房~出租率高 室內固定機車位,桃園市龜山區大同路,華廈,19.8年,8.72,1房(室)1廳1衛,5/6樓,338 萬
近龍潭科學園區/投資置產 多功能都市計畫內農地,桃園市龍潭區黃龍段,土地,N/A,--,#NAME?,#NAME?,"9,000 萬"
近青埔月桃全新挑高面寬合法鋼構農業設施,桃園市中壢區山大路,不限,0.8年,206.91,#NAME?,1/1樓,"6,980 萬"
桃園後站【低總價～稀有壹樓黃金店住】,桃園市桃園區建國東路,公寓,40.5年,17.42,2房(室)2廳1衛,1/4樓,728 萬
龍潭戶政園區整新五房+大地坪美透天,桃園市龍潭區百福街,透天厝,30.9年,55.36,5房(室)2廳4衛,1~4/4樓,"1,698 萬"
中原大學黃金商圈電梯社區陽台套房,桃園市中壢區振興街,華廈,36.4年,8.73,1房(室)1廳1衛,6/7樓,358 萬
愛買商圈武陵高中旁精美裝潢三房+車位,桃園市桃園區中山路,廠房,30.5年,48.36,3房(室)2廳2衛,4/17樓,"1,498 萬"
高鐵桃園A18青埔國小南青山大3房車,桃園市大園區致遠街,電梯大樓,1.9年,45.31,3房(室)2廳2衛,2/23樓,"2,238 萬"
航空城安置建地~面寬約6米~地形方正,桃園市大園區福海段,土地,N/A,--,#NAME?,#NAME?,"1,498 萬"
中壢站前 低總價公寓  近SOGO商圈中原大學,桃園市中壢區永泰街,公寓,44.5年,24.78,3房(室)2廳1衛,4/5樓,558 萬
楊梅大面寬平坦農地~近楊梅火車站 市區 交流道,桃園市楊梅區瑞湖段,土地,N/A,--,#NAME?,#NAME?,"5,445 萬"
新路國小旁三合院~買地送屋近龜山市場生活機能方便,桃園市龜山區永安街,透天厝,90.9年,21.48,#NAME?,1/1樓,"6,226 萬"
龍潭客家文化館臨路大面寬漂亮一般農地,桃園市龍潭區三元段,土地,N/A,--,#NAME?,#NAME?,"1,334 萬"
龍潭客家文化館臨路大面寬漂亮一般農地,桃園市龍潭區三元段,土地,N/A,--,#NAME?,#NAME?,"1,334 萬"
次頂樓溫馨裝潢四房車~近學區 視野佳 雙衛浴開窗,桃園市龜山區長峰路,電梯大樓,12.8年,57.88,4房(室)2廳2衛,14/15樓,"1,760 萬"
森悅家次頂樓山景二房車~三面採光 生活機能完善,桃園市龜山區萬壽路二段,電梯大樓,0.9年,39.9,2房(室)2廳1衛,13/14樓,"1,358 萬"
桃園航空城住宅區大面寬稀有角地!,桃園市大園區客運一段,土地,N/A,--,#NAME?,#NAME?,"9,414 萬"
近龍華科大正萬壽路一段上1+2樓,桃園市龜山區萬壽路一段,公寓,47.2年,40.84,2房(室)3廳2衛,1~2/4樓,"1,880 萬"
新屋/學區/湖口/台31線136坪持分甲建地,桃園市新屋區望間一路,土地,N/A,--,#NAME?,#NAME?,950 萬
八德大湳正廣豐特區竹城新城景觀4房車,桃園市桃園區桃智路,電梯大樓,13.0年,58.72,4房(室)2廳2衛,10/12樓,"2,138 萬"
藝文特區-大地坪 超美花園大別墅,桃園市桃園區同德五街,別墅,19.3年,110.92,4房(室)3廳5衛,1~4/4樓,"5,888 萬"
1W群城新幸福二房二衛前後陽台&,桃園市觀音區福祥街,華廈,5.2年,27.08,2房(室)2廳2衛,3/5樓,750 萬
龍安商圈鄰近國道二號全新整理美三房+車位,桃園市桃園區龍鳳三街,電梯大樓,26.6年,41.65,3房(室)2廳1衛,13/13樓,"1,298 萬"
龍安商圈鄰近國道二號全新整理美三房,桃園市桃園區江南十街,電梯大樓,32.0年,32.83,3房(室)2廳2衛,12/13樓,"1,198 萬"
A7【興富發鉑悅鉑悦】高樓美景兩房車位,桃園市龜山區文化一路,電梯大樓,N/A,32.02,2房(室)2廳1衛,26/35樓,"1,398 萬"
大業大有商圈~紫町鄉大三房~桃林步道旁,桃園市桃園區雙峯路,華廈,32.3年,35.4,3房(室)2廳2衛,2/8樓,888 萬
SOGO商圈「海華國際之星」精美1+1房捷運宅,桃園市中壢區環北路,電梯大樓,16.3年,19.95,1房(室)1廳1衛,2/22樓,988 萬
近過嶺好市多-免千萬全新挑高6米小資店面,桃園市觀音區新富路,華廈,0.5年,21.07,#NAME?,1/7樓,998 萬
未來G09捷運~音悅琉璃典雅三房車位~近桃園夜市,桃園市桃園區中正三街,電梯大樓,20.5年,45.85,3房(室)2廳2衛,11/12樓,"1,688 萬"
昇捷M+森鄰宅超美大3房+雙平車,桃園市龜山區中興路,華廈,3.8年,70.28,3房(室)2廳2衛,2/7樓,"2,298 萬"
近桃園龍潭戶政園區龍潭運動公園全新裝潢透天,桃園市龍潭區百福街,透天厝,30.9年,55.36,5房(室)2廳4衛,1~4/4樓,"1,698 萬"
大業Room18採光1+1房裝潢美屋,桃園市桃園區民有三街,電梯大樓,14.4年,29.82,2房(室)2廳1衛,7/12樓,"1,058 萬"
藝文特區~日昇大道優質三房~衛浴開窗,桃園市桃園區寶慶路,電梯大樓,31.9年,37.86,3房(室)2廳1衛,7/16樓,"1,200 萬"
A7稀有高樓邊間採光樂捷市3房平車,桃園市龜山區長慶三街,電梯大樓,6.1年,45.84,3房(室)2廳2衛,15/15樓,"1,980 萬"
內壢巨星生活家大2+1房車景觀宅衛浴開窗,桃園市八德區高城八街,電梯大樓,19.6年,41.94,3房(室)2廳1衛,13/15樓,"1,198 萬"
藝文-交流道旁 羅浮宮廷大坪數 四房車,桃園市桃園區莊敬路一段,電梯大樓,24.7年,58.18,4房(室)2廳2衛,2/14樓,"2,180 萬"
八德近G01站【麗寶大藝術家B區】美大2房車,桃園市八德區廣興二路,電梯大樓,10.2年,46.71,2房(室)2廳1衛,9/17樓,"1,638 萬"
藝文未來捷運G10站~大興敦煌前後陽台四房,桃園市桃園區大興西路二段,電梯大樓,30.0年,46.3,4房(室)2廳2衛,5/20樓,"1,398 萬"
A7〈大亮泊〉磅礡新地標C1棟事務所,桃園市龜山區文化一路,電梯大樓,N/A,38.39,#NAME?,5/28樓,"1,288 萬"
稀有釋出麗寶大藝術家A雙衛浴開窗大三房車,桃園市八德區中山路,電梯大樓,11.3年,53.72,3房(室)2廳2衛,9/17樓,"1,638 萬"
急售楊梅區緃貫路旁都計內景觀農地,桃園市楊梅區長岡嶺段,土地,N/A,--,#NAME?,#NAME?,"6,666 萬"
中壢SOGO延平大樓整新美3房車,桃園市中壢區延平路,華廈,43.3年,34.39,3房(室)2廳2衛,4/7樓,758 萬
中壢工業區擴大(第一.二期)計畫~大竹農地,桃園市蘆竹區文新段,土地,N/A,--,#NAME?,#NAME?,"3,538 萬"
新屋正台61線西濱快速公路大面寬一般農,桃園市新屋區大牛欄段大牛欄小段,土地,N/A,--,#NAME?,#NAME?,"1,865 萬"
新屋正台61線西濱快速公路大面寬一般農,桃園市新屋區大牛欄段大牛欄小段,土地,N/A,--,#NAME?,#NAME?,"1,865 萬"
鼎盛天下稀有工業風廠辦，開啟你的企業據點,桃園市桃園區國聖五街,廠房,6.0年,145.81,1房(室)2廳2衛,5/10樓,"4,880 萬"
大竹透天別墅-鄰近大竹國中小!清幽花園社區,桃園市蘆竹區大新一街,透天厝,21.1年,72.63,5房(室)3廳3衛,1~5/5樓,"2,600 萬"
內壢火車站市場旁建地(買地送屋)可談,桃園市中壢區成功段,土地,N/A,--,#NAME?,#NAME?,"5,870 萬"
蘆竹台茂南崁交流道大面寬雙面臨路工業廠房,桃園市蘆竹區南山路二段,廠房,21.9年,126.78,#NAME?,1/1樓,"19,800 萬"
全新未入住豐盛之城高樓層三房車一步到位,桃園市八德區豐吉路,電梯大樓,1.1年,44.64,3房(室)2廳2衛,14/14樓,"1,750 萬"
B18中壢體育園大三房⭐️採光佳、雙衛、前後大陽,桃園市中壢區環中東路二段,電梯大樓,26.4年,33.86,3房(室)2廳2衛,3/14樓,998 萬
小檜溪重劃區【遠雄青晉3房車】衛浴開窗/有裝潢,桃園市桃園區青溪一路,電梯大樓,2.2年,50.78,3房(室)2廳2衛,10/15樓,"2,488 萬"
近交流道|南來北往好方便|大溪新光工業區鋼構廠房,桃園市大溪區新光東路,廠房,10.0年,110.4,#NAME?,1/1樓,"8,600 萬"
河岸景觀無限棟距航空VISA社區2房車,桃園市桃園區春日路,電梯大樓,25.1年,37.8,2房(室)2廳1衛,5/14樓,"1,298 萬"
(平鎮)育達商圈全新整理華夏四套房,桃園市平鎮區育達路,華廈,29.2年,40.51,4房(室)4廳4衛,2/7樓,"1,380 萬"
青埔A18高鐵站前新銳｜高樓邊間三房平車,桃園市中壢區青心路,電梯大樓,1.3年,38.42,3房(室)2廳2衛,18/20樓,"1,998 萬"
【大園客運重劃區】璟都凱悅 - 景觀電梯三房車,桃園市大園區溪福路,電梯大樓,0.7年,46.56,3房(室)2廳2衛,11/14樓,"1,550 萬"
藝文特區莊敬路華廈大三房(車位輪抽),桃園市桃園區莊敬路二段,華廈,31.2年,42.36,3房(室)2廳2衛,2/7樓,"1,088 萬"
A296永謙南園頂樓邊間華廈3房車,桃園市蘆竹區南福街,華廈,31.9年,48.58,3房(室)2廳2衛,7/7樓,"1,388 萬"
青溪國小雙陽台套房~邊間大坪數 衛浴開窗 屋況佳,桃園市桃園區鎮江街,華廈,44.3年,13.65,1房(室)1廳1衛,5/6樓,398 萬
桃園百川綠晶整新3+1房平車~邊間採光佳,桃園市桃園區寶慶路,電梯大樓,30.3年,55.89,4房(室)2廳2衛,6/13樓,"1,598 萬"
閱讀萊茵無限棟距景觀超優質兩房+平面車位,桃園市桃園區龍泉六街,電梯大樓,12.4年,39.62,2房(室)2廳1衛,11/13樓,"1,388 萬"
青埔A19捷運站旁豪宅~威均青塘園19樓,桃園市中壢區洽溪路,電梯大樓,N/A,74.08,3房(室)2廳2衛,19/25樓,"4,388 萬"
龍潭【高原交流道～丁建挑高鋼骨優質廠房】,桃園市龍潭區高原路,廠房,29.2年,907.96,#NAME?,1/1樓,"55,000 萬"
A21重劃區、忠福旁麗朵精美3房車,桃園市中壢區南園二路,電梯大樓,11.3年,50.94,3房(室)2廳2衛,7/14樓,"1,588 萬"
藝文特區－羅浮宮廷四房＋平面車位,桃園市桃園區莊敬路一段,電梯大樓,24.7年,58.18,4房(室)2廳2衛,2/14樓,"2,180 萬"
香格里拉．庭園別墅【5房3衛4車】綠線捷運,桃園市蘆竹區中正北路,別墅,19.2年,105.69,5房(室)2廳3衛,B1~4/4樓,"2,980 萬"
高城社區三角窗可停双車三套房金透店,桃園市八德區高城八街,透天厝,50.4年,43.62,3房(室)1廳4衛,1~2/2樓,"2,380 萬"
在產業中成長．從厚生開啟新紀元．給夢想更多可能,桃園市蘆竹區厚生路,華廈,30.4年,36.7,3房(室)2廳2衛,6/10樓,838 萬
八擴重劃區 墨爾本樹海景觀大三房平車,桃園市八德區豐德路,電梯大樓,11.2年,45.88,3房(室)2廳2衛,2/15樓,"1,468 萬"
大溪僑愛稀有平房釋出-水電更新過,桃園市大溪區介壽路,透天厝,54.3年,14.74,2房(室)1廳1衛,1/1樓,538 萬
近A22老街溪站 光明公園旁五樓超大公寓,桃園市中壢區光輝五街,公寓,39.8年,33.5,3房(室)2廳2衛,5/5樓,780 萬
藝文．小檜溪．大有 【航空VISA】景觀二房車,桃園市桃園區春日路,電梯大樓,25.1年,37.8,2房(室)1廳1衛,5/14樓,"1,298 萬"
桃園航空VISA春日寶山漂亮二房車,桃園市桃園區春日路,電梯大樓,25.1年,37.8,2房(室)2廳1衛,5/14樓,"1,298 萬"
天琴四房車位~近運動中心~大湳市場~大湳公園,桃園市八德區中路南街,電梯大樓,13.9年,56.92,4房(室)2廳2衛,2/13樓,"2,088 萬"
天琴四房車位~近運動中心~大湳市場~大湳公園,桃園市八德區中路南街,電梯大樓,13.9年,56.92,4房(室)2廳2衛,2/13樓,"2,088 萬"
觀音立冠敦煌10大樓區正兩房+平車~大露臺,桃園市觀音區崙坪六路,電梯大樓,0.6年,38.94,2房(室)2廳2衛,1/11樓,"1,098 萬"
石門丨真愛綠園丨二改一房稀有釋出,桃園市龍潭區民治一街,華廈,18.6年,31.08,1房(室)2廳1衛,5/5樓,528 萬
慈文路透天店面/超大地坪/近中正路,桃園市桃園區慈文路,透天厝,51.3年,63.53,#NAME?,1~2/2樓,"3,180 萬"
省桃/閱讀萊茵4改3房車/雙衛浴開窗,桃園市桃園區龍泉六街,電梯大樓,12.4年,57.95,3房(室)2廳2衛,3/12樓,"1,690 萬"
A7【櫻花澍】永久景觀棟距文青裝潢3房車位,桃園市龜山區文青二路,電梯大樓,3.3年,46.98,3房(室)2廳2衛,8/14樓,"2,198 萬"
桃園市新屋區笨子港美麗一般農業地,桃園市新屋區笨子港段笨子港小段,土地,N/A,--,#NAME?,#NAME?,"2,788 萬"
大業商圈~花開富貴社區~醒目社區店面,桃園市桃園區大業路一段,電梯大樓,30.4年,232.58,#NAME?,B1~1/12樓,"4,800 萬"
小東區【路易崴登*小資最愛~2房車】,桃園市桃園區大業路一段,華廈,21.1年,35.33,2房(室)2廳1衛,9/9樓,"1,038 萬"
『國家大院』面華泰名品城可隔大2房+車位,桃園市中壢區青峰路一段,電梯大樓,2.4年,36.5,1房(室)2廳1衛,6/15樓,"1,788 萬"
【京懋一號】兩房車美裝潢雙衛浴景觀豪邸,桃園市桃園區正光路,電梯大樓,6.2年,51.79,2房(室)2廳2衛,7/23樓,"2,780 萬"
中壢好屋【內壢前站-忠孝商圈花園美墅】,桃園市中壢區吉利二街,別墅,22.0年,52.18,5房(室)2廳4衛,1~4/4樓,"1,798 萬"
圓方綠景3+1房車,桃園市中壢區高鐵南路二段,電梯大樓,10.3年,107.5,3房(室)2廳3衛,6/12樓,"4,980 萬"
海山透天｜鄰近機場｜廚具衛浴翻新,桃園市蘆竹區海山路二段,透天厝,44.3年,32.11,5房(室)2廳4衛,1~4/4樓,"1,588 萬"
近南亞忠貞商圈稀有前後臨路雙車位漂亮別墅,桃園市中壢區龍川五街,別墅,18.4年,64.38,5房(室)3廳4衛,1~4/4樓,"2,388 萬"
河濱美寓~一層一戶、前陽台進出~萬壽路、陸光路,桃園市龜山區自強西路,公寓,44.0年,31.67,3房(室)2廳1衛,5/5樓,798 萬
近交流道藝文區【大興敦煌~亮4房】前後陽台,桃園市桃園區大興西路二段,電梯大樓,30.0年,46.3,4房(室)2廳2衛,5/20樓,"1,398 萬"
南門市場力行市場 永安華夏市府漂亮華廈2房,桃園市桃園區永安路,華廈,32.7年,26.21,2房(室)2廳1衛,4/5樓,898 萬
〔新捷市景觀〕衛浴開窗、中空樓板、近中路龍安內壢,桃園市桃園區龍城一街,電梯大樓,6.4年,36.1,2房(室)2廳1衛,13/15樓,"1,320 萬"
高指名度【上城/魔術大空間】自用收租高投報,桃園市桃園區大興西路二段,電梯大樓,17.5年,33.87,1房(室)1廳1衛,6/12樓,"1,268 萬"
近藝文特區G11捷運站【百川綠晶】裝潢機能四房車,桃園市桃園區寶慶路,電梯大樓,32.2年,55.89,4房(室)2廳2衛,6/13樓,"1,598 萬"
永順國小為鄰【上城溫馨套房+車位】自用收租高投報,桃園市桃園區大興西路二段,電梯大樓,17.5年,25.49,1房(室)1廳1衛,12/12樓,998 萬
近八德重劃區田園綠景幸福心都心三房雙車,桃園市八德區新興路,電梯大樓,N/A,51.32,3房(室)2廳2衛,15/15樓,"1,588 萬"
中平特區近未來捷運站口【國際京城~溫馨3房】,桃園市桃園區國鼎一街,電梯大樓,30.8年,28.76,3房(室)2廳2衛,14/16樓,998 萬
八擴捷運G01宅~益騏福爾摩沙 景觀3房車！,桃園市八德區廣興三路,電梯大樓,2.2年,39.82,3房(室)2廳2衛,12/14樓,"1,788 萬"
未來捷運G10藝文~定泰經國翫2+1房車~雙衛浴,桃園市桃園區經國路,電梯大樓,6.0年,38.06,3房(室)2廳2衛,7/15樓,"1,698 萬"
青埔A19竹風青塘超美四房雙車三面採光,桃園市中壢區文德路,電梯大樓,10.0年,93.19,4房(室)2廳2衛,4/18樓,"3,880 萬"
近交流道高樓層景觀大坪數2+1房車,桃園市桃園區國際路二段,電梯大樓,29.9年,49.35,2房(室)2廳1衛,15/17樓,"1,288 萬"
中壢環中商圈大學校園一期4房露臺戶,桃園市中壢區永福路,電梯大樓,31.4年,52.52,4房(室)1廳2衛,2/11樓,"1,058 萬"
"""青埔國中聯上3Q輕屋齡3+1房",桃園市中壢區領航北路二段,電梯大樓,4.0年,45.49,3房(室)2廳2衛,9/15樓,"2,188 萬"
近捷運G08、桃園國中~中福街~大空間三房公寓,桃園市桃園區中福街,公寓,48.1年,29.69,3房(室)2廳1衛,3/4樓,598 萬
近捷運G08、桃園國中~中福街~大空間三房公寓,桃園市桃園區中福街,公寓,48.1年,29.69,3房(室)2廳1衛,3/4樓,598 萬
A7【玄泰T1】知名建商低總價高樓事務所,桃園市龜山區樂善二路,電梯大樓,N/A,34.55,#NAME?,13/25樓,"1,190 萬"
桃園後站婦女館旁新整理建國國小美三房,桃園市桃園區復明一街,公寓,44.4年,27.25,3房(室)2廳2衛,4/5樓,788 萬
上海路上～全新裝潢！稀有住商用黃金透天店面,桃園市桃園區上海路,透天厝,51.0年,38.66,1房(室)2廳2衛(另加蓋4房(室)1廳4衛),1~2/4樓,"3,780 萬"
台北凱撒【邊間～六套房林蔭美別墅】,桃園市大溪區大綸,別墅,29.3年,104.75,6房(室)3廳7衛,B1~4/4樓,"2,088 萬"
Ｇ０１站【正１２米長興路~稀有黃金建地】！！,桃園市八德區新興段,土地,N/A,--,#NAME?,#NAME?,"1,788 萬"
八德擴大重劃區超級低總價景觀戶四房車,桃園市八德區興仁路,電梯大樓,29.1年,34.26,4房(室)2廳2衛,10/12樓,998 萬
竹城大和4房雙車位.藝文特區捷運靜巷宅,桃園市桃園區同德六街,電梯大樓,14.8年,82.14,4房(室)2廳2衛,4/12樓,"4,250 萬"
捷運紅線桃園中平商圈麗晶公園邊間正3房平面車位,桃園市桃園區泰昌三街,華廈,27.1年,35.08,3房(室)2廳2衛,9/9樓,"1,300 萬"
中路特區-心有猛虎.細嗅薔薇『京懋頤和』飯店美學,桃園市桃園區正光路,電梯大樓,1.7年,83.56,2房(室)2廳3衛,13/23樓,"5,308 萬"
東安國中國小活巷整新孝親房美透天,桃園市平鎮區星友街,透天厝,38.5年,36.07,5房(室)2廳3衛,1~2/2樓,"1,098 萬"
百川新歐洲稀有電梯美墅邊間大面寬三面採光溫馨裝潢,桃園市桃園區民有十三街,別墅,20.2年,94.12,5房(室)3廳4衛,1~5/5樓,"3,780 萬"
東騰青一三改二房車~小檜溪重劃區 坐擁公園綠地,桃園市桃園區朝陽街,電梯大樓,0.8年,47.35,2房(室)2廳2衛,24/25樓,"2,388 萬"
成功國小旁便宜華廈2房.漂亮次頂樓.生活機能好,桃園市桃園區永安路,華廈,32.7年,26.21,2房(室)1廳1衛,4/5樓,958 萬
鄰近未來捷運棕線桃園巨蛋、青溪文教特區高質感公寓,桃園市桃園區國民街,公寓,38.6年,35.93,3房(室)2廳2衛,4/5樓,888 萬
低總價3房+車位【RV生活館】小家庭最愛,桃園市桃園區春日路,電梯大樓,23.9年,41.33,3房(室)2廳2衛,10/14樓,"1,288 萬"
A18住進風景的城市秘境新森活兩房含車,桃園市中壢區永昌路,電梯大樓,4.5年,33.94,2房(室)2廳1衛,12/15樓,"1,450 萬"
新屋寶樹路農地2｜臨馬路、面寬約20米、方正,桃園市新屋區新屋段後湖小段,土地,N/A,--,#NAME?,#NAME?,999 萬
Room18三房車位裝潢美屋機能好,桃園市桃園區民有三街,電梯大樓,14.4年,37.09,3房(室)2廳2衛,3/12樓,"1,388 萬"
八德廣豐蛋黃區丨桃大泰極大面寬金店面,桃園市桃園區桃智路,電梯大樓,12.2年,55.81,--房(室)2廳2衛,1/12樓,"4,180 萬"
啓動幸福寬敞二樓雅寓~近龜山傳統市場,桃園市龜山區幸福十七街,公寓,38.6年,29.84,3房(室)1廳1衛,2/5樓,568 萬
首購族最愛 大三房+車位 衛浴開窗 近車站,桃園市中壢區榮和六街,華廈,29.6年,37.14,3房(室)2廳2衛,4/7樓,858 萬
新屋寶樹路農地1｜臨馬路、面寬約34米、方正,桃園市新屋區新屋段後湖小段,土地,N/A,--,#NAME?,#NAME?,"1,458 萬"
開啓幸福寬敞孝親庭院一樓~近龜山傳統市場,桃園市龜山區幸福十七街,公寓,38.6年,29.8,#NAME?,1/5樓,788 萬
青埔高鐵A18站前B1威均天翔商辦,桃園市中壢區領航南路三段,電梯大樓,6.6年,131.11,4房(室)--廳5衛,2/16樓,"6,968 萬"
青埔高鐵A18站前B2威均天翔商辦,桃園市中壢區領航南路三段,電梯大樓,6.6年,128.78,3房(室)--廳4衛,2/16樓,"6,868 萬"
青埔高鐵A18站前C2威均天翔商辦,桃園市中壢區領航南路三段,電梯大樓,6.6年,146.06,5房(室)--廳4衛,3/16樓,"7,768 萬"
知名建商元臺青挑高雙衛浴兩房露臺戶,桃園市中壢區月桃路一段,電梯大樓,1.1年,48.7,2房(室)2廳2衛,1/14樓,"1,428 萬"
宏國真愛景觀次頂樓~3改2房車~龍安商圈,桃園市桃園區龍鳳三街,電梯大樓,26.6年,42.48,2房(室)2廳2衛,19/20樓,"1,298 萬"
中悅帝寶【七星級奢華 高樓層景觀豪宅】,桃園市蘆竹區中正路,電梯大樓,19.3年,196.09,4房(室)2廳6衛,20/29樓,"8,500 萬"
小檜溪景觀3房車合康檜邑就是讓您合意,桃園市桃園區日光路,電梯大樓,1.8年,46.12,3房(室)2廳2衛,9/14樓,"1,888 萬"
小檜溪景觀3房車合康檜邑就是讓您合意,桃園市桃園區日光路,電梯大樓,1.8年,46.12,3房(室)2廳2衛,9/14樓,"1,888 萬"
大溪石園段近中科院落羽松大道低總價農地,桃園市大溪區石園段,土地,N/A,--,#NAME?,#NAME?,648 萬
A7【興富發鉑悦鉑悅】採光邊間3房平面車位,桃園市龜山區樂善一路,電梯大樓,N/A,46.13,3房(室)2廳2衛,12/35樓,"1,998 萬"
墨爾本稀有釋出綠意景觀三房車可以買,桃園市八德區豐德路,電梯大樓,11.2年,45.88,3房(室)2廳2衛,2/15樓,"1,468 萬"
楊梅交流道旁｜都計內面寬54米｜千坪乙種工業地,桃園市楊梅區草湳坡段草湳坡小段,土地,N/A,--,#NAME?,#NAME?,"27,500 萬"
宜誠花園-後站超值2房雙衛浴~B1車！,桃園市桃園區樹仁三街,電梯大樓,19.8年,46.55,2房(室)2廳2衛,3/14樓,"1,399 萬"
近省桃醫院正龍壽路大路邊稀有釋出買地送透天店面,桃園市桃園區龍壽街,土地,N/A,--,#NAME?,#NAME?,"1,880 萬"
藝文.總圖~收租三套房~投報率高(B),桃園市桃園區南平路,公寓,44.0年,19.49,#NAME?,5/5樓,998 萬
春日路RV生活館/3房+B1平面車位,桃園市桃園區春日路,電梯大樓,23.9年,41.33,3房(室)2廳2衛,10/14樓,"1,288 萬"
藝文.總圖~收租三套房~投報率高(A),桃園市桃園區南平路,公寓,44.0年,17.38,#NAME?,5/5樓,998 萬
藝文特區3房/有前後陽台/近中正莊敬雙公園,桃園市桃園區新埔十街,華廈,31.8年,31.68,3房(室)2廳2衛,3/7樓,"1,098 萬"
市政府旁年收租百萬八套房.高投報率,桃園市桃園區縣府路,公寓,36.3年,47.4,8房(室)8廳8衛,5/5樓,"1,866 萬"
大業區~四季水花園景觀溫馨3房車,桃園市桃園區大業路一段,電梯大樓,19.8年,39.3,3房(室)2廳2衛,7/13樓,"1,488 萬"
玄泰T1 A7財運7樓戶舒適景觀採光空間,桃園市龜山區樂善二路,電梯大樓,N/A,33.21,#NAME?,7/25樓,"1,098 萬"
桃園中壢夜市步行即可抵達巷內寧靜透天,桃園市中壢區中央西路二段,透天厝,27.1年,51.05,6房(室)1廳6衛,1~4/4樓,"1,880 萬"
