抓取時間,搜尋結果第幾頁,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,目前價格,原始價格,是否含車位價格
2025_10_16 23_51_56,13,近中壢幸福黃昏市場次頂樓電梯大三房,桃園市中壢區新中北路二段,華廈,31.7年,建坪33.01,主+陽25.15,6/7樓,3房(室)2廳2衛," 1.鄰近幸福黃昏市場。
2.地點佳往八德、中壢、平鎮皆方便。
3.客廳及房間以配置冷媒管線及排水。
4.全室多處細心配置開關插座，方便使用。
5.前後陽台，房間皆有開窗。
6.次頂樓格局方正明亮通風。
7.住戶單純一層兩戶。 ",台慶不動產新上,898,898,無
2025_10_16 23_51_56,13,八德重劃區豐盛之城學區旁全新未住3房車,桃園市八德區豐吉路,電梯大樓,1.1年,建坪44.12,主+陽24.87,3/14樓,3房(室)2廳2衛," 1.近未來G02綠線，走路約10分鐘路程
2.全新未住，可依自己的風格裝潢
3.格局方正，好規劃
4.近八德國小、八德國中，小孩上學沒煩惱
5.生活機能完善，走路約10分鐘可到全聯
6.周邊有寶雅、五金可添購生活用品
7.三房格局，適合小家庭，適合有需求換屋的家庭
8.室內採光佳 ",台慶不動產新上,"1,628","1,628",無
2025_10_16 23_51_56,13,【浩世品學】文化國小．全新精緻三房,桃園市平鎮區廣德街,華廈,0.4年,建坪28.12,主+陽20.66,4/5樓,3房(室)2廳2衛," ✨冠軍磁磚 MIT高品質精品 第一品牌，Panasonic 舒適貼心多功能暖風機
✨林內日式輕奢廚具，ToTo日式精緻衛浴工藝
✨Kronotex全球第一頂級木地板，Daiken 日本第一原裝室內門
✨Studor歐盟排水通氣吸氣閥，Low_E膠合玻璃 安全節能、阻熱降溫
✨Showa氣密窗氣密水密雙防護日本JIS認證，萬里晴全棟防水保固5年 ",台慶不動產新上,"1,388","1,388",無
2025_10_16 23_51_56,13,平鎮家樂福山仔頂工業區祥安國小美透天,桃園市平鎮區自由街,透天厝,44.7年,建坪25.19,主25.19,1~2/2樓,3房(室)2廳2衛," 1.近山仔頂商圈，鄰近麥當勞、家樂福等商家林立採買方便，生活機能佳
2.目前規劃3房，全新裝潢，全新衛浴設備，透天門前可停車
3.可到祥安國小、山豐國民小學，平南國中就近就學免煩惱
4.10分鐘上66快速道路，15分鐘上國道3房，交通便利 ",永慶不動產新上,898,898,無
2025_10_16 23_51_56,13,青埔A18高鐵站。國家大院1+1房車高樓美景日式,桃園市中壢區青峰路一段,電梯大樓,2.4年,建坪35.66,主+陽16.60,16/16樓,1房(室)1廳1衛," 1.緊鄰桃園高鐵站550公尺。
2.日式美裝潢，一卡皮箱可入住。
3.A18核心生活圈，繁華與便利一步到位:
步行約5–10分鐘即可到IKEA、UNIQLO、大全聯、青園國小、桃園高鐵站、機捷 A18、星巴克、華泰名品城、置地廣場；車程約 8 分鐘上國道二號。
4.五星飯店尊榮完善公設：大廳、交誼廳、吧台、烹飪教室、游泳池、花園、健身房、電影院、棋藝室、KTV。 ",永慶不動產新上近捷運高鐵桃園站,"1,750","1,750",無
2025_10_16 23_51_56,13,龍岡忠貞市場邊間三角窗稀有美透天,桃園市中壢區龍東路,透天厝,32.9年,建坪31.18,主+平+陽31.18,1~3/3樓,5房(室)1廳3衛, 稀有邊間三角窗美透天，忠貞市場旁，人潮錢潮聚集，龍岡國中、忠貞國小、南亞技術學院、阿美米甘大街，室內規劃完善，5房美容工作室、健身房，屋主用心讚。 ,永慶不動產新上,"1,698","1,698",無
2025_10_16 23_51_56,13,A7郵政物流園區【富宇上城】精裝邊間3房車,桃園市龜山區文禾路,電梯大樓,1.5年,建坪43.80,主+陽23.35,3/24樓,3房(室)2廳2衛," 1.知名建商公司富宇建設，著重施工品質，住戶有保障
2.近科技園區、郵政物流總部
3.標準3房，衛浴開窗，通風流暢
4.面對中庭花園，綠意視野佳
5.屋主用心，規劃裝潢，誠意出售 ",永慶不動產新上,"1,999","1,999",含車位售價220萬元
2025_10_16 23_51_56,13,【A7麗寶快樂家】稀有低樓層樹海景觀4房車,桃園市龜山區文青路,電梯大樓,9.9年,建坪58.45,主+陽34.66,4/22樓,4房(室)2廳2衛," 1.A7捷運站商圈，南來北往便捷。
2.全聯超市、家樂福、康是美、便利商店都很近，生活機能優。
3.A7四大合宜住宅，唯一有游泳池的社區。
4.總戶數920戶，均質三房、四房規劃。
5.雙衛浴開窗，前後雙陽台。
6.全天候物業管理，完善豐富公共設施。
7.面綠景保護區，視野開闊，居家品質怡然舒適。 ",永慶不動產新上廁所有窗有天然瓦斯房間都有窗近捷運體育大學站,"1,980","1,980",含車位售價180萬元
2025_10_16 23_51_56,13,青埔百坪樓中樓。首富5+1房。頂樓露臺戶,桃園市大園區致祥一街,電梯大樓,12.5年,建坪157.08,主+陽89.13,11~12/12樓,5房(室)2廳4衛," 1.  青埔最大樓中樓+頂樓露臺規劃，豪氣大戶。
2.  非夾層增建，合法樓中樓，可擴充至6房。
3.  座落於高鐵約600米的位置，青塘園約700米。
4.  頂樓露臺約12坪，打造專屬空中花園。
5.  搭配中空減音樓板，提升居住品質。
6.  單層雙併雙電梯，1:1梯戶比，豪宅大戶規劃。
7.  帝王格局，成就帝王胸襟。
8. 住家享老街溪河岸美景，一生總要收藏一棟。

 ",永慶不動產新上近捷運高鐵桃園站,"7,500","7,500",無
2025_10_16 23_51_56,13,中央大學水悅莊園漂亮三房車採光景觀戶,桃園市中壢區內厝五路,電梯大樓,4.2年,建坪44.57,主+陽24.25,5/11樓,3房(室)2廳2衛," 1.此社區座落於大享別莊森林園道，享受大自然綠意，空氣清新，視野寬廣。
2.臥室衛浴間間開窗，採光明亮，通風良好，挑高三米六，室內空間感舒適。
3.格局漂亮，屋況近新，每間臥室都能配置雙人床，衛浴乾溼分離，大陽台。
4.面中大與水悅莊園景觀優美，平面大車位，社區管理嚴謹，出入隱私性高。
5.輕屋齡，低總價，高質感居住品質，輕鬆擁抱豪華尊貴，大三房成家首選。
6.梯間走道寬敞，公設精美，豐富完善，閱覽室、交誼廳、健身房、瑜珈室。 ",永慶不動產新上廁所有窗房間都有窗,"1,298","1,298",無
2025_10_16 23_51_56,13,平鎮車站前區公所商圈美3房英雄鎮,桃園市平鎮區新富二街,電梯大樓,28.5年,建坪34.10,主+陽30.37,8/18樓,3房(室)2廳2衛," 1。近平鎮火車站（興建中）步行只要三分鐘，中壢市中心車程六分鐘，66快速道路、交流道，交通便捷，區公所、特力屋、全聯福利中心商圈完善便利。
2。有裝潢，水電局部更新，新廚具衛浴，3個陽台好運用，大型社區本棟棟距大，採光好通風佳，社區即有開放室運動、健身、遊戲區，歡迎來電賞屋。 ",永慶不動產新上,998,998,無
2025_10_16 23_51_56,13,正桃鶯路商圈全新整理透天 生活機能超好,桃園市桃園區桃鶯路,透天厝,52.2年,建坪38.44,主38.44,1~2/2樓,1房(室)2廳3衛," 全棟重新拉皮整理，水、電線重新配置，廚房備有IH爐、
停車位備有充電電源管線，管線整齊配置。
面寬４．７米，路寬５米活巷，可當店面或出租使用。
一樓可隔孝親房，雙客廳配置符合三代同堂又有私人空間。
每間房間都是主臥室，衛生隱私都兼顧。自住出租都合適。
近明星學校，衛斯理幼兒園、建德國小、福豐國中，近大林圖書館
路口就是桃鶯商圈，買菜，領錢寄信，食衣住行育樂便利
近鳳鳴、山鶯、後站鐵道捷運，近大湳交流道，
路口桃鶯路上有公車，交通方便。
現有3-4樓增建。 ",永慶不動產新上,"2,088","2,088",無
2025_10_16 23_51_56,13,【皇翔歡喜城】近捷運屋況極佳高坪效2房B2車,桃園市龜山區文青二路,電梯大樓,10.3年,建坪40.67,主+陽21.81,15/19樓,2房(室)2廳1衛," 1.格局方正大坪效規劃，擁有完整的客廳餐廳空間，獨立廚房、房間皆開窗。
2.稀有兩房擁有前後陽台，高樓採光通風好。
3.走路到A7站約9分鐘、到全聯約5分鐘(參考GOOGLE地圖)
4.社區樓下機能完善，7-11、蝦皮店到店、公車站、餐飲小吃、診所藥局應有盡有。
5.屋主誠意出售，歡迎看屋。 ",永慶不動產新上近捷運體育大學站,"1,628","1,628",含車位售價200萬元
2025_10_16 23_51_56,13,中壢近華勛市場兒童公園全新整理美公寓,桃園市中壢區華美一路,公寓,44.8年,建坪25.41,主+陽25.41,4/4樓,3房(室)2廳1衛," 1。免整理，水管部份有更新，頂樓增建鐵皮屋，活動空間大，好規劃。
2。近市場，走路約四分鐘可到，生活採買相當便利，近公園，走路約三分鐘，休閒散步、兒童娛樂等。
3。低總價，不看可惜。 ",永慶不動產新上,588,588,無
2025_10_16 23_51_56,13,青埔A18成家大璽．高鐵站前國泰景觀三房車,桃園市中壢區領航南路四段,電梯大樓,6.2年,建坪42.44,主+陽22.80,4/14樓,3房(室)2廳2衛," 1、位於高鐵站前旁，距離桃園高鐵站、機場捷運線A18站或華泰名品城等約850公尺(車程3分鐘)。
2、社區對面就是公六公園，距離橫山書法公園也才700公尺，文藝氣息濃厚，書香世家。
3、公設：迎賓車道、接待大廳、健身房、桌球間、閱覽室、會議室、視聽室、KTV、游泳池、兒童遊憩區等。
4、雨遮不計坪不計價，客餐廳空間完整延伸感強，家具擺設彈性大，整體氛圍明亮舒適。
5、主客用衛浴，附有完整的衛浴設備，兩間都有開對外窗，實用且好用，保持乾燥不潮溼。

 ",永慶不動產新上近捷運高鐵桃園站,"2,188","2,188",無
2025_10_16 23_51_56,13,桃園龍壽閱讀萊茵採光方正兩房平車,桃園市桃園區龍泉六街,電梯大樓,12.4年,建坪40.24,主+陽18.72,4/13樓,2房(室)1廳1衛," 格局方正，前後陽台，採光通風好
近龍壽商圈、交流道
生活交通機能優

⭐團隊合作：一家委託13家區域聯賣，全台1700家官網曝光，成交效率快。
⭐️平台：流量大，買方多，廣告大。
⭐️仲介首創影音看屋，VR實境看屋。
⭐️歡迎預約來店賞屋 委託銷售
⭐️即時提供房屋資訊 成交行情
⭐️履約保證交易安全《合泰建經》
⭐️誠實 從ㄧ個人的習慣到一群人的信仰 ",永慶不動產新上廁所有窗有天然瓦斯房間都有窗,"1,188","1,188",無
2025_10_16 23_52_01,14,近楊梅交流道陽光國小雙車位美別墅,桃園市楊梅區金溪路,別墅,19.2年,建坪55.22,主+陽52.46,1~5/5樓,4房(室)2廳3衛," 1。前院停車、門前車格再停一台（編號D6）。
2。獨立廚房與餐廳空間。
3。整層大主臥，寬敞舒適。
4。樓層格局分明，可作臥室書房。
5。頂樓空間開放可作神明廳或工作室。
6。車行五分鐘可上交流道。 ",永慶不動產新上,"1,463","1,463",無
2025_10_16 23_52_01,14,近楊梅交流道陽光國小雙車位美別墅,桃園市楊梅區金溪路,別墅,19.2年,建坪55.22,主+陽52.46,1~5/5樓,4房(室)2廳3衛," 1。前院停車、門前車格再停一台（編號D6）。
2。獨立廚房與餐廳空間。
3。整層大主臥，寬敞舒適。
4。樓層格局分明，可作臥室書房。
5。頂樓空間開放可作神明廳或工作室。
6。車行五分鐘可上交流道。 ",永慶不動產新上,"1,463","1,463",無
2025_10_16 23_52_01,14,A7【甲子園】3房2廳雙衛浴露臺美屋,桃園市龜山區文化一路,電梯大樓,3.9年,建坪47.01,主+陽26.42,3/24樓,3房(室)2廳2衛,"  買賣、租賃皆可以為您服務
❶寬敞陽台好利用
❷採光通風佳
❸衛浴乾溼分離
❹格局好規劃
❺屋況佳，屋主用心經營
❻全室溫馨裝潢
❼24小時物業管理，包過代收真方便
❽全齡化多元公設、公共空間整潔、垃圾集中處理
❾大廳挑高典雅
❿網路預約專人服務

 ",永慶不動產新上,"2,088","2,088",含車位售價210萬元
2025_10_16 23_52_01,14,民權路近未來G08捷運站稀有釋出室內大空間,桃園市桃園區民權路,華廈,28.9年,建坪70.80,主+陽55.52,2/6樓,#NAME?," 想要實現被動收入嗎？
這間就是不能錯過的好標的，
稀有低總價大空間，一層一戶、格局方正採光好。
近中正商圈、未來綠捷G08捷運站，交通便利生活機能佳。
空間大亦適合三代同堂，熱鬧又不擁擠！ ",永慶不動產新上,"1,580","1,580",無
2025_10_16 23_52_01,14,中壢華勛商圈/低總價公寓頂樓/頂加鐵皮屋使用空間,桃園市中壢區華美一路,公寓,44.8年,建坪25.41,主+陽25.41,4/4樓,3房(室)2廳1衛," 頂樓公寓原始格局3/2/1/1，增建五樓鐵皮，使用依現場為主PS(增建不負瑕疵擔保責任)。
頂樓有重新施作防水(保固至116/07)、桶裝瓦斯、冷熱水管部分老舊已更新、室內照明電線部分有更新。
無管理費、但公共費用8戶均攤，有公寓住戶管理人。 ",永慶不動產新上,588,588,無
2025_10_16 23_52_01,14,中日龍族３房車龍安商圈麥當勞愛買桃園東西向交流道,桃園市八德區中華路,電梯大樓,29.9年,建坪32.52,主+陽21.76,8/15樓,3房(室)2廳2衛," 中日龍族 高樓層三房漂亮景觀宅
位於中華路上核心地段，生活機能超完善、交通超便利！
稀有 前陽台進出 超大前後陽台 真的好好用
8樓高樓層，視野遼闊、採光通風一級棒
三房兩廳兩衛，格局方正，居家空間舒適好規劃
一個機械車位，停車免煩惱
鄰近商圈、市場、超商、學校，步行即可滿足日常所需
快速接軌各大要道，通勤族首選，省時又省力
無論自住或置產，都值得您親臨鑑賞！
 
歡迎隨時來電詢問或直接預約看屋，請速來電 ",永慶不動產新上,930,980萬,無
2025_10_16 23_52_01,14,【過嶺重劃區】大清城双低總價兩房車,桃園市中壢區松勇路,電梯大樓,0.5年,建坪36.69,主+陽18.37,4/18樓,2房(室)2廳1衛," 1.全新未住，屋況嶄新，享受無使用痕跡的潔淨生活空間
2.位於過嶺住宅中心，生活圈成熟，發展穩定
3.社區內規劃多間店面，未來商家進駐，商機可期
4.鄰近7-11、全家等便利商店，生活機能完善
5.步行約五分鐘可達松勇公園，散步遛小孩都方便
6.車程約三分鐘可達全聯，五分鐘可達好市多，採買快速便利
7.約五分鐘車程可上66快速道路，七分鐘可接國道一號
8.約十分鐘車程可達青埔A19捷運站與桃園高鐵站，交通無縫接軌

 ",永慶不動產新上,"1,188","1,188",無
2025_10_16 23_52_01,14,近新屋市區 -【墨硯居6】邊間全新雙車美墅,桃園市新屋區清文路,別墅,1.3年,建坪69.21,主+陽68.95,1~5/5樓,4房(室)2廳2衛," 1. 本案全新未住、前院好停雙車位
2.稀有邊間三面採光、住戶單純素質好
3.近新屋市區、學區、公車站等
4.鄰近全聯/新屋市場，機能相對佳
5.田園風光、離塵不離城，世外桃源

 ",永慶不動產新上,"1,688","1,688",無
2025_10_16 23_52_01,14,【樺龍青藝】2房，面中庭寧靜景觀戶,桃園市中壢區永泰路,電梯大樓,#NAME?,建坪39.11,主15.01,8/15樓,2房(室)2廳1衛," ★樺龍青藝」基地位在永泰路上,面積559.2坪，規劃1棟地上15層、地下3層建築，全案共80戶住家、1戶店面，屬於小型社區，車位為平面式90個，車位配比1:1.11，並預留有電動車充電線槽設備；社區公設包括接待大廳、空中花園、交誼廳、會議室、閱覽室、健身房、桌球室、親子遊戲區、兒童遊戲區、廚藝教室、信箱區等
★交通機能
車行3分鐘可至機捷A19桃園體育園區站，車行6分鐘亦可達高鐵桃園站及機捷A18高鐵桃園站；沿高鐵南路銜接台31線也有國道二號大竹交流道可利用。
★生活機能
學校：車行5分鐘可至青園國小，步行3分鐘則可至青埔國中。
商業：日常採買車行4分鐘可達全聯(中壢領航)，車行3分鐘亦可達家樂福(青埔)。
休閒：步行1分鐘可至清溪兒童公園。 ",永義房屋新上,"1,798","1,798",含車位售價200萬元
2025_10_16 23_52_01,14,A7【富來舞綻】樹梢露臺明亮邊間３房車位,桃園市龜山區樂善三路,電梯大樓,0.5年,建坪36.41,主+陽19.54,2/15樓,3房(室)2廳2衛," 買賣、租賃皆可以為您服務
❶3房2廳2衛，邊間採光通風佳
❷格局方正好規劃
❸寬敞陽台好利用
❹約定專用露臺
❺面樹梢景觀，綠意盎然
❻棟距寬敞舒服
❼﻿距全聯約400公尺，步行約5分鐘
❽網路預約專人服務 ",永義房屋新上近捷運體育大學站,"1,688","1,688",含車位售價130萬元
2025_10_16 23_52_01,14,飛飛想3房車 屋況佳贈裝潢 雙陽台雙面採光,桃園市蘆竹區南山路一段,電梯大樓,10.3年,建坪63.12,主31.75,15/18樓,3房(室)2廳2衛," 1.雙陽台、採光通風佳、高樓面河景觀。
2.一手屋、屋況極佳、正裝潢、立可住。
3.鄰近山鼻捷運站約4公里、鄰雙交流道約5分鐘。
4.全區466戶、住戶單純、素質高。
5.步行台茂3分鐘、郵局旁、7-11下樓就到。
6.公設齊全、警衛24小時管理完善。
(本案為工業住宅)

 ",永義房屋新上,"2,249","2,249",無
2025_10_16 23_52_01,14,【遠雄新未來2】可隔三房，百萬裝潢永久景觀,桃園市龜山區樂善二路,電梯大樓,3.4年,建坪44.89,主+陽24.48,20/22樓,2房(室)2廳2衛," 1.地段優勢
●文青國中小正對面,距離學校走路1分鐘,A7重劃區目前唯一的雙語學校。
2.基地優勢
●約 1956 坪壯闊基地，位於住宅區用地，稀有珍貴。
3.建商優勢
●遠雄建設在台灣56年，國際型的開發商。
4.規劃優勢
●國際級建築大師李祖原大師操刀，指標建築拔高22層，雙塔式建築.氣勢不凡。
5.產品優勢
●純住宅設計,385 戶住宅,完善高質感公設，飯店式服務管理。
6.戶型優勢
●稀缺戶型 ,2+1房  格局方正 無走道浪費 百萬裝潢 拎包入住。 ",永義房屋新上有天然瓦斯房間都有窗,"2,258","2,258",含車位售價200萬元
2025_10_16 23_52_01,14,小檜溪大業國小高樓層大空間景觀2+1房車,桃園市桃園區大業路一段,電梯大樓,29.5年,建坪49.05,主+陽29.85,21/21樓,2房(室)2廳2衛," 1.大業商圈鄰近小檜溪
2.格局方正，超大室內空間2+1房
3.社區管理嚴謹，門口有公車站牌
4.機械下層車位，社區電梯已更新
5.商圈機能成熟完善
6.社區後門出去即是南崁溪步道，鄰近三民運動公園 ",永義房屋新上,"1,200","1,200",無
2025_10_16 23_52_01,14,新台北華城 3房車 臨學區 近交流道 生活機能佳,桃園市蘆竹區榮興路,電梯大樓,23.5年,建坪44.33,主24.79,10/12樓,3房(室)2廳2衛," 1.絕佳地點、鄰郵局、全聯超市、7-11、自由聯盟生鮮超市、路易莎咖啡廳，生活機能佳。
2.格局方正、低公設24%、雙面採光。
3.全區3~4房、住戶素質高、管理完善。
4.近南崁交流道、公車站、交通便利。
5.臨托嬰中心、幼稚園、國小就學方便。
6.全天候垃圾回收室、大車位好停車。   ",永義房屋新上,"1,598","1,598",無
2025_10_16 23_52_01,14,桃園文中路龍壽庭園溫馨明亮成家電梯美三房,桃園市蘆竹區文中路一段,華廈,32.4年,建坪29.03,主+陽25.74,7/7樓,3房(室)2廳1衛," 文中路.龍壽街路口 龍壽庭院社區 工業住宅 低公設 低管理費 環境寧靜 24H警衛門禁
一層兩戶 重新整理 溫馨美裝潢 客廳挑高裝設水晶吊燈 室內寬敞 採光明亮通風
社區可承租車位 開車5分鐘可「上國2桃園交流道（依Google地圖標示）交通便利 離塵不離城
生活機能好 小家庭/首購族購屋好選擇 成家電梯三房 把握機會 ",有巢氏房屋新上房間都有窗,898,898,無
2025_10_16 23_52_01,14,"青埔新森活河岸樹梢美景兩房車位					",桃園市中壢區永昌路,電梯大樓,4.5年,建坪33.74,主+陽14.75,3/15樓,2房(室)2廳1衛," 1)優質社區管理嚴謹住戶單純 
2)近桃園高鐵機捷A18站交通便利
3)環境清幽老街溪河景美景盡收眼底
4)緊鄰青埔國中青埔國小學區
5)社區公設完善飯店式管理
6)正兩房新婚首購首選戶型
7)緊鄰洽溪公園綠地散步去
8)新光影城、置地廣場、華泰商場好去處 ",有巢氏房屋新上,"1,438","1,438",無
2025_10_16 23_52_01,14,桃園中平路商圈低公設電梯華廈邊間成家三房車,桃園市桃園區泰昌七街,華廈,31.6年,建坪37.02,主+陽24.46,6/6樓,3房(室)2廳2衛," 鄰近中平路商圈，低公設，一層兩戶，邊間，電梯華廈，磁扣門禁
雙衛浴皆有開窗，天然瓦斯，昇降平面式車位，室內空間寬敞，採光明亮
走路約2分鐘就可到仲平黃昏市場採買
周遭生活機能好，成家好屋，把握機會 ",有巢氏房屋新上有天然瓦斯房間都有窗,"1,098","1,098",無
2025_10_16 23_52_01,14,飛飛想嚴選-絕美河景3室.稀有平面大車位,桃園市蘆竹區南山路一段,電梯大樓,10.3年,建坪55.72,主+陽29.42,6/18樓,#NAME?," 1.坐擁雙市場，生活機能完善。
2.鄰近南崁市場或仁愛黃昏市場，採買便利。
3.開車5分鐘可至台茂購物中心、好市多。
4.交通由南山路接南崁路一段約10分鐘上國道一號，四通八達。
5.本案彈性多樣化，適合辦公、新型態工作室等多用途利用。
 ",有巢氏房屋新上,"1,650","1,650",無
2025_10_16 23_52_01,14,桃園東門國小春日路邊間大空間寧靜成家三房美屋,桃園市桃園區桃三街,公寓,40.6年,建坪35.41,主+陽31.93,4/5樓,3房(室)2廳2衛," 春日路旁，近東門國小後門 過個馬路就到學校 到青溪國中走路約6分鐘 小朋友上課方便
社區警衛門禁管理，邊間，雙邊採光，前陽台大空間，天然瓦斯，雙衛浴，室內坪數空間大，環境寧靜
社區大門對面就是我家牛排桃園春日店，走路約8分鐘可到朝陽森林公園 近小檜溪重劃區
到新永和市場採買走路約12分鐘（依Google地圖標示）
周遭生活機能好，室內使用空間大，好成家 ",有巢氏房屋新上有天然瓦斯房間都有窗近捷運景福宮站(施工中)近捷運BRH08站(規劃中),980,980,無
2025_10_16 23_52_01,14,中壢鄰近中壢工業區邊間明亮溫馨成家三房美寓,桃園市中壢區西園路,公寓,40.6年,建坪26.37,主+陽24.56,5/5樓,3房(室)2廳2衛," 鄰近中壢工業區 近啟英高級中學
採買可到忠福商圈.忠福黃昏市場走路約10分鐘
樓下巷口約50米就有全家便利商店
走路約4分鐘可到中壢藝術園區（依Google地圖標示）
頂樓邊間 雙衛浴 全新整理
室內空間寬敞 舒適溫馨 採光明亮通風 頂樓已施作防水
靜巷周遭生活機能好 交通便利 低總價 成家好屋 ",有巢氏房屋新上房間都有窗,700,700,無
2025_10_16 23_52_01,14,近藝文特區G11站~三面採光~京采二房平面大車位,桃園市桃園區永安北路,華廈,23.7年,建坪36.82,主+陽20.84,6/9樓,2房(室)2廳1衛," 1.屋況非常好，屋主愛乾淨，不整理也可入住
2.最優雙拼一層兩戶，三面採光，衛浴開窗，通風不潮濕
3.主臥室陽台可種花草，享受都市內的私人小綠洲
4..社區棟距大，方正大二房，房間都開窗
5.還有空間可再隔一房，有對外窗，可作書房、嬰兒房或更衣室使用
6.交誼廳，老人家可以跟朋友聚會，不無聊
7.車道進出不同出入口，不怕會車問題
8.有24小時保全收包裹，掛號，網路購物免煩惱
9.雙學區9年教育無須煩惱，騎車約5分內會到

10.全聯騎車約3分鐘，家樂福騎車約10分鐘
11.近未來捷運G11站，藝文圖書館，星巴克咖啡館，騎車約4分鐘
12.南平黃昏市場騎車約6分鐘，採買便利
13.國道1號開車約7分鐘，國道2號開車約12分鐘 ",台慶不動產新上有天然瓦斯,"1,288","1,288",無
2025_10_16 23_52_01,14,近埔心車站/工業區旁活巷大空間透天,桃園市平鎮區南平路二段,透天厝,48.7年,建坪20.96,主20.96,1~2/2樓,5房(室)2廳2衛," 1.一樓有前院方便停車，通風良好，採光佳。
2.活巷內，寧靜不擾人，現況3樓、4樓增建約15坪。
3.格局方正好規劃，可三代同堂。
4.鄰近埔心車站及66快速道路，交通便利。
5.鄰近幼獅工業區及平鎮工業區，自住/投資皆適宜。 ",台慶不動產新上,798,798,無
2025_10_16 23_52_01,14,桃園藝文特區EQ別墅電梯景觀三房車,桃園市桃園區莊二街,華廈,27.4年,建坪50.36,主+陽32.36,5~6/8樓,3房(室)2廳2衛," 1.全室全新裝潢整理 空間寬敞舒適 大三房空間
2.大陽台採光好通風佳 挑高樓中樓格局不壓迫
3.近國小國中 9年國教教育機能完善 接送便利
4.近藝文特區/經國特區 應有盡有 走路就能到
5.近南崁交流道/台4線/經國轉運站 交通便利
6.社區戶數單純 警衛管理進出安全放心 可代收
7.擁有坡道平面地下車位 愛車停車免淋雨曬太陽
8.社區除三跟日外 每天下午14點有垃圾集中處理
9.此社區稀有釋出整新美宅 僅此一戶錯過可惜
10.警衛值班時間早上6:00-晚上22:00 ",台慶不動產新上,"1,498","1,498",無
2025_10_16 23_52_01,14,龍潭市區交流道旁全新整理電梯大3房,桃園市龍潭區健行路,華廈,31.0年,建坪35.12,主+陽22.20,6/6樓,3房(室)2廳2衛," 1.全新裝潢 衛浴櫥俱皆更新 即可入住
2.格局方正 房間皆有窗 採光佳
3.前後雙陽台 室內通風良好
4.低管理費 24小時警衛管理
5.環境清幽 鬧中取靜
6.學區完善 就學方便
7.近龍潭運動公園休閒散步好去處
8.近龍潭交流道 交通方便
9.頂樓防水重新施作 ",台慶不動產新上廁所有窗房間都有窗,718,718,無
2025_10_16 23_52_01,14,大溪員林路近交流道勤奮公園美透天,桃園市大溪區員林路二段,透天厝,44.7年,建坪25.16,主25.16,1~2/2樓,5房(室)2廳3衛, 有天有地，空間大好規劃，超棒的透天，未來性發展好，近交流道，有土斯有財，格局方正，採光一級棒，有裝潢，前後陽台，有陽台，廁所開窗，近公園，稀有快來買！！ ,永慶不動產新上,798,798,無
2025_10_16 23_52_01,14,稀有二房露台青埔A18鴻築馥麗國小學區宅,桃園市大園區致遠一路,電梯大樓,1.0年,建坪34.97,主+陽16.22,2/14樓,2房(室)2廳2衛," 1.稀有釋出二房有四坪露台可使用，格局規劃方正，無浪費走道空間，正國小學區宅，距離250公尺步行5分鐘內到青埔國小，慢慢散步也可以到美術館喔
二房二衛浴A18站也可以走的到高鐵、學區雙賣點超極難得一層四戶雙電梯， 旁邊就有兒九公園有UBIK
2.交通樞紐，車行約10分鐘，可銜接國道1號/國道2號。桃園機場：開車約15-20分鐘。
戶數單純僅一百多戶適合居住客廳的3米1面寬、天花板3米1，倒垃圾是感應開關不用碰到門把 ",永慶不動產新上房間都有窗,"1,698","1,698",無
2025_10_16 23_52_01,14,A7文青國小【智匯學】景觀大２房車位,桃園市龜山區牛角坡路,電梯大樓,0.6年,建坪33.20,主+陽18.14,8/15樓,2房(室)2廳1衛," 買賣、租賃皆可以為您服務
❶步行至A7體育大學站，約950公尺約13分鐘
❷景觀大2房，房間、浴廁皆開窗
❸格局方正好規劃，採光通風佳
❹樓層適中，視野開闊
❺棟距寬敞舒服
❻距文青國小，步行約3分鐘
❼網路預約專人服務 ",永慶不動產新上廁所有窗房間都有窗,"1,358","1,358",含車位售價110萬元
2025_10_16 23_52_01,14,L551 麗寶快樂家高樓邊間美景三房車,桃園市龜山區文青路,電梯大樓,9.9年,建坪59.44,主+陽35.73,23/24樓,3房(室)2廳2衛," 邊間高樓層景觀戶！
前後雙陽台，採光美，通風佳！
優質大型社區管理佳！
近學校，周邊環境舒適，採買方便，宜家宜居！
下樓就有公車站，鄰近機捷體育大學站，交通便利！
 ",永慶不動產新上近捷運體育大學站,"2,350","2,350",無
