抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/0908PP?breadcrumb=list,大直明水悅稀有邊間釋出明水悅,台北市中山區明水路,辦公,18.6年,建坪 31.53,主 + 陽16.76,4樓/9樓,2房2廳1衛(含加蓋1房),有裝潢有陽台房間皆有窗有 505 人也在關注這間👀,2988萬,"2,988",2988萬,坡道機械車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/6678CH?breadcrumb=list,專任明湖邊間電梯三房明湖國宅（山下）,台北市內湖區康寧路三段,華廈,30.9年,建坪 33.68,主 + 陽26.5,4樓/8樓,3房2廳2衛,有裝潢有景觀前後陽台有 666 人也在關注這間👀,2688萬,"2,688",2688萬,,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/9532UL?breadcrumb=list,誠售首購捷運電梯,台北市中山區新生北路三段,辦公,31.2年,建坪 11.13,主 + 陽7.01,6樓/10樓,1房1廳1衛,有裝潢房間皆有窗警衛管理有 1795 人也在關注這間👀,888萬,888,888萬,,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/5607AJ?breadcrumb=list,西門賀采３Ｍ６小豪宅,台北市萬華區成都路,大樓,18.1年,建坪 15.04,主建物9.8,6樓/14樓,2房1廳1衛(含加蓋1房),有裝潢廁所開窗房間皆有窗有 240 人也在關注這間👀,1328萬,"1,328",1328萬,,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/2604GX?breadcrumb=list,稀有海華一樓帶車位忠孝海華社區一,台北市信義區忠孝東路五段,華廈,40.9年,建坪 65.02,主建物27,B1-1樓/7樓,3房2廳2衛1室,有裝潢有陽台廁所開窗有 223 人也在關注這間👀,4500萬,"4,500",4500萬,坡道平面車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/2687BY?breadcrumb=list,新案大安富陽捷運二房二衛,台北市大安區臥龍街,大樓,1.2年,建坪 42.96,主 + 陽20.03,5樓/23樓,2房2廳2衛,有裝潢有景觀有陽台有 704 人也在關注這間👀,3960萬,"3,960",3960萬,坡道平面車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/2408NZ?breadcrumb=list,捷運中山直美次高樓層,台北市中山區新生北路二段,華廈,0.6年,建坪 44.44,主 + 陽23.21,9樓/10樓,2房2廳2衛,有裝潢有景觀有陽台有 143 人也在關注這間👀,4988萬,"4,988",4988萬,升降平面車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/8701TB?breadcrumb=list,圓頂世紀朝南高樓景觀戶圓頂世紀會館,台北市中山區南京東路三段,大樓,21.7年,建坪 93.79,主 + 陽50.27,13樓/14樓,4房2廳3衛,有裝潢有景觀前後陽台有 480 人也在關注這間👀,11980萬,"11,980",11980萬,兩個以上車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/0478BQ?breadcrumb=list,古亭捷運電梯四房銀河大廈,台北市中正區水源路,華廈/辦公,46.7年,建坪 53.39,主 + 陽47.85,3樓/10樓,4房2廳2衛,有裝潢有景觀前後陽台有 329 人也在關注這間👀,3380萬,"3,380",3380萬,,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/0337DQ?breadcrumb=list,天母豪邸維多利亞盛宴維多利亞盛宴,台北市士林區忠誠路二段,大樓,21.8年,建坪 113.7,主 + 陽60.35,2樓/12樓,4房2廳2衛1室,有裝潢有景觀前後陽台有 771 人也在關注這間👀,9380萬,"9,380",9380萬,兩個以上車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/6291CX?breadcrumb=list,近北投捷運三房！,台北市北投區清江路,公寓,42.2年,建坪 34.91,主 + 陽34.92,4樓/5樓,3房2廳2衛,有裝潢前後陽台有陽台有 1531 人也在關注這間👀,1850萬,"1,850",1850萬,,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/0968ZM?breadcrumb=list,面敦南樹海美景高樓敦南大廈,台北市大安區敦化南路一段,華廈,30.4年,建坪 66.62,主 + 陽40.99,7樓/10樓,3房2廳2衛1室,有裝潢有景觀有陽台有 807 人也在關注這間👀,8188萬,"8,188",8188萬,升降平面車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/4152UZ?breadcrumb=list,信義路ＳＲＣ信義愛樂信義愛樂(舊愛樂...,台北市大安區信義路二段,大樓,23.1年,建坪 97.67,主 + 陽54.66,11樓/14樓,4房2廳3衛(含加蓋1房),有景觀前後陽台有陽台有 805 人也在關注這間👀,11500萬,"11,500",11500萬,坡道平面車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/2378NM?breadcrumb=list,⭐一層一戶。捷運美景宅,台北市中山區北安路,華廈,7.7年,建坪 105.27,主 + 陽35.39,7樓/7樓,4房4廳3衛(含加蓋2廳),毛胚屋有景觀前後陽台有 582 人也在關注這間👀,9900萬,"9,900",9900萬,兩個以上車位,,,,,
2025_11_21 17_59_49,10,https://www.sinyi.com.tw//buy/house/9379NY?breadcrumb=list,大同世界邊間３面採光４房大同世界二期,台北市大同區敦煌路,大樓,16.1年,建坪 53.55,主 + 陽36.87,3樓/15樓,4房2廳2衛2室,有裝潢有景觀有陽台有 512 人也在關注這間👀,4980萬,"4,980",4980萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/8010NF?breadcrumb=list,皇后大道公爵．景觀美宅皇后大道-公爵區,台北市中山區敬業三路,華廈,25.0年,建坪 109.38,主 + 陽60.07,5樓/8樓,4房2廳3衛3室(含加蓋1室),有裝潢有景觀有陽台有 202 人也在關注這間👀,11850萬,"11,850",11850萬,兩個以上車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/51275M?breadcrumb=list,誠意售屋仁愛三普高樓仁愛三普,台北市大安區仁愛路四段,大樓,45.7年,建坪 47.66,主 + 陽42.39,8樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 711 人也在關注這間👀,5899萬,"5,899",5899萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/7968PB?breadcrumb=list,專任莊敬路電梯三房吾興大廈,台北市信義區莊敬路,華廈,49.2年,建坪 31.72,主 + 陽26.63,2樓/7樓,3房2廳2衛1室(含加蓋1室),警衛管理具垃圾處理近公園有 74 人也在關注這間👀,2880萬,"2,880",2880萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/5400WB?breadcrumb=list,第一樂章．紀念堂四房豪邸第一樂章,台北市中正區金華街,大樓,19.3年,建坪 95.4,主 + 陽54.25,4樓/13樓,4房2廳2.5衛2室,有裝潢前後陽台有陽台有 564 人也在關注這間👀,13800萬,"13,800",13800萬,兩個以上車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/5566UP?breadcrumb=list,✿專任景華邊間採光美寓✿,台北市文山區景華街,公寓,46.3年,建坪 27.61,主 + 陽27.61,5樓/5樓,3房2廳1衛,有裝潢有景觀前後陽台有 697 人也在關注這間👀,1598萬,"1,598",1598萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/3905CQ?breadcrumb=list,榮耀之星面公園◆質感豪邸榮耀之星,台北市中山區五常街,大樓,6.2年,建坪 75.03,主 + 陽32.57,6樓/17樓,3房2廳2衛,有裝潢有景觀有陽台有 1384 人也在關注這間👀,6980萬,"6,980",6980萬,兩個以上車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/8723AF?breadcrumb=list,稀有明日博次頂樓陽明山景明日博,台北市大安區市民大道三段,大樓,9.9年,建坪 113.24,主 + 陽64.22,22樓/23樓,3房2廳3衛2室,有裝潢有景觀前後陽台有 318 人也在關注這間👀,17500萬,"17,500",17500萬,兩個以上車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/8104RU?breadcrumb=list,天母綠景社區管理３房皇家別府,台北市北投區行義路,華廈,40.8年,建坪 40.69,主 + 陽32.42,3樓/7樓,3房2廳2衛,有裝潢廁所開窗房間皆有窗有 11496 人也在關注這間👀,1950萬,"1,950",1950萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/0706BZ?breadcrumb=list,中山國小旁真善美,台北市中山區新生北路三段,大樓,44.6年,建坪 13.4,主 + 陽11.49,5樓/12樓,1房1廳1衛,有裝潢廁所開窗警衛管理有 605 人也在關注這間👀,1088萬,"1,088",1088萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/4435ZL?breadcrumb=list,臻品～正華齡街公寓３樓,台北市士林區華齡街,公寓,52.0年,建坪 28.25,主建物28.25,3樓/4樓,3房2廳2衛,有裝潢有陽台廁所開窗有 357 人也在關注這間👀,1960萬,"1,960",1960萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/7933FW?breadcrumb=list,新案＃湖邦新第小資大空間湖邦新第,台北市內湖區大湖山莊街,華廈/辦公,32.9年,建坪 18.32,主建物12.67,-1樓/8樓,2房2廳1衛,毛胚屋廁所開窗房間皆有窗有 2315 人也在關注這間👀,1168萬,"1,168",1168萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/09683C?breadcrumb=list,民生海華電梯管理明亮三房海華大廈,台北市松山區民生東路五段,大樓,42.2年,建坪 40.61,主 + 陽33.08,6樓/16樓,3房2廳2衛,有裝潢有景觀有陽台有 814 人也在關注這間👀,3498萬,"3,498",3498萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/3708VW?breadcrumb=list,近捷運師大金華２樓美寓,台北市大安區師大路,公寓,49.5年,建坪 34.4,主 + 陽34.4,2樓/4樓,4房2廳2衛(含加蓋1房),前後陽台有陽台廁所開窗有 227 人也在關注這間👀,3380萬,"3,380",3380萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/5666AH?breadcrumb=list,中山欣欣★靜巷美宅,台北市中山區新生北路二段,華廈,34.8年,建坪 16.83,主 + 陽10.64,7樓/9樓,1房1廳1衛,有裝潢有景觀房間皆有窗有 171 人也在關注這間👀,1380萬,"1,380",1380萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/9668SS?breadcrumb=list,【北士科】御之邸次高樓遠雄御之邸,台北市北投區文林北路,大樓,13.0年,建坪 219.28,主 + 陽89.04,22樓/23樓,1廳4衛,毛胚屋有景觀前後陽台有 379 人也在關注這間👀,19800萬,"19,800",19800萬,兩個以上車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/8283UR?breadcrumb=list,現代極簡大安ＶＩＳＩＯＮ大安VISION,台北市大安區光復南路,大樓,8.5年,建坪 39.16,主 + 陽19.64,11樓/14樓,2房2廳1衛,有裝潢有景觀有陽台有 521 人也在關注這間👀,4990萬,"4,990",4990萬,坡道機械車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/4463CZ?breadcrumb=list,明水路麗緻美景珠寶盒明水Amour阿...,台北市中山區明水路,大樓,18.0年,建坪 22.13,主 + 陽13.24,6樓/11樓,1房2廳1衛,有裝潢有陽台廁所開窗有 57 人也在關注這間👀,2545萬,"2,545",2545萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/1995TX?breadcrumb=list,麗山國中昇陽管理成家美築昇陽大地,台北市內湖區金龍路,大樓,32.0年,建坪 24.92,主 + 陽20.86,6樓/12樓,1房2廳1衛,有裝潢有景觀有陽台有 952 人也在關注這間👀,2100萬,"2,100",2100萬,,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/3145LQ?breadcrumb=list,稀有庭院陽明賞一樓陽明賞,台北市北投區西安街二段,大樓,20.0年,建坪 51.6,主 + 陽26.89,1樓/13樓,3房2廳2衛,有裝潢廁所開窗房間皆有窗有 958 人也在關注這間👀,4988萬,"4,988",4988萬,坡道平面車位,,,,,
2025_11_21 17_59_58,11,https://www.sinyi.com.tw//buy/house/4262SQ?breadcrumb=list,近捷運次高樓管理三房大戶力霸湖濱,台北市內湖區民權東路六段,大樓,31.2年,建坪 62.66,主 + 陽38.71,13樓/16樓,3房2廳2衛,有裝潢有景觀警衛管理有 639 人也在關注這間👀,4480萬,"4,480",4480萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/2519ZV?breadcrumb=list,新生金華●青田莊園,台北市大安區青田街,華廈,54.8年,建坪 55.47,主 + 陽55.47,4樓/6樓,4房2廳2衛,有裝潢前後陽台有陽台有 1134 人也在關注這間👀,6488萬,"6,488",6488萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/9868AX?breadcrumb=list,榮星高樓明亮邊間三房北國榮星,台北市中山區農安街,大樓/辦公,39.7年,建坪 38.84,主 + 陽30.25,12樓/12樓,3房2廳1衛,有裝潢有景觀廁所開窗有 38 人也在關注這間👀,4268萬,"4,268",4268萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/9026NX?breadcrumb=list,敦南觀止三房雙車位敦南觀止,台北市文山區福興路,大樓,13.2年,建坪 63.71,主 + 陽24.02,12樓/14樓,3房2廳2衛,有裝潢有景觀廁所開窗有 719 人也在關注這間👀,3480萬,"3,480",3480萬,兩個以上車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/1922VT?breadcrumb=list,★Ｙ３９。基泰帝景★基泰帝景,台北市信義區吳興街,大樓,15.8年,建坪 76.63,主 + 陽31.38,18樓/19樓,2房2廳1衛,有裝潢有景觀前後陽台有 369 人也在關注這間👀,5380萬,"5,380",5380萬,兩個以上車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/2402QY?breadcrumb=list,降價～北士科雙併電梯三房金雕御庭,台北市北投區承德路七段,大樓,29.2年,建坪 47.52,主 + 陽34.83,4樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 1324 人也在關注這間👀,3200萬,"3,200",3200萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/2050RK?breadcrumb=list,國盛精緻美裝二房國盛花園社區(國...,台北市中正區中華路二段,華廈,45.1年,建坪 19.37,主 + 陽16.58,6樓/7樓,2房2廳1衛,有裝潢有陽台廁所開窗有 1035 人也在關注這間👀,1768萬,"1,768",1768萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/5489VP?breadcrumb=list,誠售國泰豐年★景觀三房國泰華威豐年,台北市北投區大業路,大樓,2.1年,建坪 50.49,主 + 陽25.77,18樓/24樓,3房2廳2衛,有裝潢有景觀有陽台有 2000 人也在關注這間👀,4980萬,"4,980",4980萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/6087SQ?breadcrumb=list,晴光商圈★捷運景觀美屋浪琴花苑,台北市中山區雙城街,大樓/辦公,35.3年,建坪 25.11,主 + 陽17.75,9樓/16樓,1房2廳1衛1室,有裝潢有景觀有陽台有 647 人也在關注這間👀,2478萬,"2,478",2478萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/8485BL?breadcrumb=list,★現代之藝★稀有豪邸現代之藝,台北市信義區松仁路,華廈,24.7年,建坪 125.2,主 + 陽69.36,6樓/9樓,3房2廳2衛,有裝潢前後陽台有陽台有 882 人也在關注這間👀,16500萬,"16,500",16500萬,兩個以上車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/9474WY?breadcrumb=list,萬隆捷運公寓二樓,台北市文山區興隆路一段,公寓,49.6年,建坪 28.91,主 + 陽28.91,2樓/4樓,3房2廳1衛,有裝潢前後陽台有陽台有 643 人也在關注這間👀,1800萬,"1,800",1800萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/2037NS?breadcrumb=list,南京三民地上權挑高宅,台北市松山區南京東路五段,華廈,19.9年,建坪 14.35,主建物9.18,2樓/3樓,1房1廳1衛,有裝潢有陽台房間皆有窗有 2685 人也在關注這間👀,850萬,850,850萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/3386KS?breadcrumb=list,湖景薈萃璞真水寓四房大戶璞真水寓,台北市內湖區內湖路二段,華廈,9.1年,建坪 86.7,主 + 陽58.03,5樓/10樓,4房2廳3衛,有裝潢有景觀前後陽台有 603 人也在關注這間👀,13200萬,"13,200",13200萬,兩個以上車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/6805XK?breadcrumb=list,麗山國中近文德站三房大戶濱湖王子,台北市內湖區內湖路二段,華廈,41.4年,建坪 42.67,主 + 陽35.67,3樓/7樓,3房2廳2衛,有裝潢有景觀有陽台有 785 人也在關注這間👀,3580萬,"3,580",3580萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/3782DW?breadcrumb=list,【ＶＲ】低公設比捷運三房麗景天廈,台北市文山區興隆路二段,華廈,37.4年,建坪 37.54,主 + 陽27.53,4樓/7樓,3房2廳2衛,有裝潢有陽台房間皆有窗有 665 人也在關注這間👀,2580萬,"2,580",2580萬,,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/0966CS?breadcrumb=list,【ＶＲ】南方莊園四房車位南方莊園,台北市文山區辛亥路四段,大樓,5.6年,建坪 56.38,主 + 陽29.49,6樓/26樓,4房2廳2衛,有景觀有陽台廁所開窗有 847 人也在關注這間👀,5600萬,"5,600",5600萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/1499NG?breadcrumb=list,【新接】四四東村Ａ區四四東村A基地,台北市信義區吳興街,大樓,24.2年,建坪 40.87,主 + 陽26.19,6樓/13樓,3房2廳2衛,有裝潢前後陽台有陽台有 837 人也在關注這間👀,4200萬,"4,200",4200萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/5378VR?breadcrumb=list,東西匯稀有兩房車位東西匯,台北市中山區松江路,大樓,10.4年,建坪 37.79,主 + 陽18.71,2樓/17樓,2房2廳1衛,有裝潢有陽台警衛管理有 729 人也在關注這間👀,4988萬,"4,988",4988萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/9137QV?breadcrumb=list,涵碧園綠景邊間四房涵碧園,台北市文山區萬芳路,大樓,17.4年,建坪 70.85,主 + 陽38.39,4樓/15樓,4房2廳2衛1室,有裝潢有陽台廁所開窗有 389 人也在關注這間👀,5700萬,"5,700",5700萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/7226AC?breadcrumb=list,帝寶稀有小坪數車位香榭帝寶,台北市南港區重陽路,大樓,3.8年,建坪 22.21,主 + 陽9.63,10樓/14樓,1房1廳1衛,有裝潢有景觀有陽台有 804 人也在關注這間👀,2188萬,"2,188",2188萬,坡道平面車位,,,,,
2025_11_21 18_00_08,12,https://www.sinyi.com.tw//buy/house/9684YG?breadcrumb=list,金華學區極品靜巷電梯２房仁愛竹隱,台北市中正區臨沂街,華廈,17.4年,建坪 45.51,主 + 陽21.71,4樓/6樓,2房2廳1衛,有裝潢有景觀前後陽台有 2316 人也在關注這間👀,4586萬,"4,586",4586萬,塔式車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/0571YT?breadcrumb=list,葫洲捷運高樓電梯從容三房明湖國宅（山下）,台北市內湖區康寧路三段,華廈,31.0年,建坪 36.09,主 + 陽26.92,7樓/7樓,3房2廳2衛,有裝潢有景觀有陽台有 1907 人也在關注這間👀,2780萬,"2,780",2780萬,,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/8817FD?breadcrumb=list,宏普新邑高樓奢華裝潢宏普新邑,台北市北投區三合街一段,華廈,10.4年,建坪 49.08,主 + 陽23.22,6樓/9樓,1房2廳2衛2室,有裝潢有陽台廁所開窗有 818 人也在關注這間👀,3800萬,"3,800",3800萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/6221YR?breadcrumb=list,國賓官邸巔峰高樓遠景國賓官邸,台北市內湖區成功路二段,大樓,10.4年,建坪 109.4,主 + 陽56.82,14樓/14樓,4房2廳3衛,有景觀前後陽台有陽台有 341 人也在關注這間👀,8688萬,"8,688",8688萬,兩個以上車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/6458DJ?breadcrumb=list,全新鋼骨２７０度山河霸景,台北市士林區中山北路五段,大樓,1.2年,建坪 83.54,主 + 陽44.27,16樓/18樓,4房2廳2衛,有景觀前後陽台有陽台有 701 人也在關注這間👀,9980萬,"9,980",9980萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/8171HC?breadcrumb=list,✨誠售！降價美妝三房方正,台北市信義區吳興街,公寓,38.2年,建坪 27.49,主 + 陽27.49,3樓/5樓,3房2廳1衛,有裝潢有景觀前後陽台有 2309 人也在關注這間👀,1980萬,"1,980",1980萬,,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/0661AJ?breadcrumb=list,太子美麗殿．大坪數雙車位太子美麗殿,台北市中山區敬業一路,辦公,21.1年,建坪 96.63,主 + 陽50.29,6樓/10樓,4房2廳2衛1室(含加蓋1室),有裝潢有景觀有陽台有 295 人也在關注這間👀,11072萬,"11,072",11072萬,兩個以上車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/1004MM?breadcrumb=list,宏盛陽明景觀大戶豪邸宏盛陽明,台北市士林區福志路,大樓,10.7年,建坪 176.92,主 + 陽81.26,11樓/17樓,1廳3衛,毛胚屋有景觀前後陽台有 279 人也在關注這間👀,21880萬,"21,880",21880萬,兩個以上車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/4837HU?breadcrumb=list,碧湖湖景美樹平面車位濱湖皇家,台北市內湖區內湖路二段,大樓,43.0年,建坪 67.38,主 + 陽57.69,4樓/12樓,4房2廳3衛,有裝潢有景觀有陽台有 528 人也在關注這間👀,5100萬,"5,100",5100萬,,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/5507GB?breadcrumb=list,文匯首選華固文匯,台北市南港區研究院路二段,大樓,14.8年,建坪 75.27,主 + 陽39.19,4樓/15樓,3房2廳2衛1室,有陽台房間皆有窗警衛管理有 962 人也在關注這間👀,4880萬,"4,880",4880萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/0418NY?breadcrumb=list,【翔譽珍藏朝南景觀】翔譽101,台北市松山區八德路四段,大樓,11.9年,建坪 16.95,主 + 陽10.86,12樓/13樓,1房1廳1衛,有景觀警衛管理具垃圾處理有 530 人也在關注這間👀,2190萬,"2,190",2190萬,,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/4539GQ?breadcrumb=list,仁愛百吉豪邸樹海景觀之星百吉,台北市大安區仁愛路四段,大樓,38.9年,建坪 89.18,主 + 陽67.39,5樓/17樓,6房2廳3衛,有裝潢有景觀前後陽台有 508 人也在關注這間👀,13888萬,"13,888",13888萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/3193KK?breadcrumb=list,昭揚天際景觀Ａ棟６樓昭揚天際,台北市北投區承德路七段,大樓,1.4年,建坪 71.35,主 + 陽38.34,6樓/19樓,3房2廳2衛,有景觀前後陽台有陽台有 749 人也在關注這間👀,6388萬,"6,388",6388萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/6120YG?breadcrumb=list,敦南御所◆高樓樹海美妝敦南御所,台北市大安區敦化南路一段,大樓,5.2年,建坪 58.68,主 + 陽31.34,11樓/23樓,3房2廳2衛1室,有裝潢有景觀有陽台有 1399 人也在關注這間👀,9450萬,"9,450",9450萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/4602HQ?breadcrumb=list,士林運動中心電梯三房車位麒麟門,台北市士林區士商路,華廈,18.0年,建坪 58.04,主 + 陽27.12,2樓/7樓,3房2廳2衛,有裝潢有景觀前後陽台有 546 人也在關注這間👀,4980萬,"4,980",4980萬,兩個以上車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/9235ZB?breadcrumb=list,店長推薦國美大真國美大真,台北市中山區樂群二路,大樓,10.9年,建坪 178.74,主 + 陽89.57,5樓/11樓,4房2廳3.5衛2室,有裝潢有景觀前後陽台有 834 人也在關注這間👀,25388萬,"25,388",25388萬,兩個以上車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/5789PK?breadcrumb=list,後山埤捷運４房＋平面車位互助典藏,台北市南港區同德路,大樓,17.6年,建坪 72.24,主 + 陽42.9,1樓/14樓,4房2廳2衛,有裝潢有景觀有陽台有 1346 人也在關注這間👀,6980萬,"6,980",6980萬,坡道平面車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/3213GQ?breadcrumb=list,水岫高樓美景三房水岫,台北市中正區重慶南路三段,大樓,13.7年,建坪 49.73,主 + 陽30.02,10樓/15樓,3房2廳2衛,有裝潢有景觀有陽台有 472 人也在關注這間👀,4360萬,"4,360",4360萬,坡道機械車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/6332TD?breadcrumb=list,新川普●稀有無車位一房新川普,台北市信義區信義路五段,大樓,16.4年,建坪 14.47,主 + 陽9.13,4樓/19樓,1房1廳1衛,有裝潢廁所開窗警衛管理有 1092 人也在關注這間👀,1780萬,"1,780",1780萬,,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/5357VN?breadcrumb=list,璞園麗山學區邊間三房璞水瑟,台北市內湖區麗山街,大樓,14.2年,建坪 62.44,主 + 陽30.28,4樓/14樓,3房2廳2衛,有裝潢有陽台廁所開窗有 2707 人也在關注這間👀,5680萬,"5,680",5680萬,兩個以上車位,,,,,
2025_11_21 18_00_18,13,https://www.sinyi.com.tw//buy/house/3021KR?breadcrumb=list,《請進士林》文林麗緻文林麗緻,台北市士林區大西路,華廈,24.9年,建坪 81.49,主 + 陽39.86,2樓/9樓,4房2廳2衛(含加蓋1房),前後陽台有陽台廁所開窗有 708 人也在關注這間👀,5788萬,"5,788",5788萬,兩個以上車位,,,,,
2025_11_21 18_00_28,14,https://www.sinyi.com.tw//buy/house/1128FZ?breadcrumb=list,『典雅』樹山丘成家兩房樹山丘2-捷運桃...,台北市北投區稻香路,華廈,4.1年,建坪 37.57,主 + 陽15.3,3樓/5樓,2房2廳1衛,有裝潢有景觀有陽台有 678 人也在關注這間👀,2350萬,"2,350",2350萬,坡道平面車位,,,,,
2025_11_21 18_00_28,14,https://www.sinyi.com.tw//buy/house/0678PC?breadcrumb=list,忠泰大直風格３房車位忠泰風格,台北市中山區明水路,大樓,18.2年,建坪 82.89,主 + 陽44.09,3樓/15樓,3房2廳2衛,有裝潢前後陽台有陽台有 478 人也在關注這間👀,9800萬,"9,800",9800萬,兩個以上車位,,,,,
