鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
橋頭區,房地(土地+建物)+車位,高雄市橋頭區里林東路１９號四樓之５,20.2,1140418,土地2建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140320,75.83,2,2,2,有,有,8290000,95873,一樓平面,6.05,1600000
鳳山區,房地(土地+建物)+車位,高雄市鳳山區林森路１８８號四樓,27.93,1140401,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820924,180.26,4,2,2,有,有,10000000,55475,坡道平面,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中山東路４００巷３０弄７７號十四樓,15.94,1140407,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140103,107.02,2,2,2,有,有,11310000,105681,坡道平面,20.32,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中山東路４００巷３０弄６５號五樓,15.94,1140413,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140103,107.02,2,2,2,有,有,10960000,102411,坡道平面,20.32,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區瑞順街１２０號十四樓,20.06,1140410,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1121121,152.58,3,2,2,有,有,16320000,115068,坡道平面,25.09,1650000
大樹區,房地(土地+建物)+車位,高雄市大樹區九大路５６６號七樓之５,34.11,1140412,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1130821,99.41,3,2,2,有,有,8410000,75062,一樓平面,2.69,1150000
鳳山區,房地(土地+建物),高雄市鳳山區中山東路９０巷３號二樓,18.19,1140426,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,890725,154.81,3,2,2,有,有,7300000,47155,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區新昌街５６之３號,25.08,1140407,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701125,77.28,3,2,2,有,無,3300000,42702,,0,0
鳥松區,房地(土地+建物)+車位,高雄市鳥松區明湖路１３號十二樓之２,55.25,1140408,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970115,282.65,3,2,2,有,有,27380000,96869,坡道平面,27.72,0
湖內區,房地(土地+建物),高雄市湖內區和平路１４８巷２弄４７號,82.8,1140403,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,820428,157.64,6,2,3,有,無,7600000,48211,,0,0
路竹區,房地(土地+建物),高雄市路竹區永福路５５巷１弄６號,85.15,1140410,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,680208,84,3,2,2,有,無,6000000,71429,,0,0
林園區,房地(土地+建物),高雄市林園區中芸三路２５巷３１號,70,1140412,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,721116,137.46,3,2,3,有,無,3600000,26189,,0,0
林園區,房地(土地+建物),高雄市林園區林園北路３６５巷１弄４５之２號,33.2,1140401,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,740825,98.76,3,2,2,有,無,3600000,36452,,0,0
鳥松區,房地(土地+建物),高雄市鳥松區大華路１０號,46.03,1140424,土地2建物1車位0,全,三層,透天厝,商業用,加強磚造,681019,76.8,7,1,3,有,無,7000000,91146,,0,0
仁武區,房地(土地+建物),高雄市仁武區京中五街１７號,112.48,1140430,土地3建物1車位0,全,四層,透天厝,其他,鋼筋混凝土造,900220,188.27,4,2,3,有,無,17000000,90296,,0,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路２０２號十一樓,21.87,1140411,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930722,152.17,3,2,2,有,有,16800000,110403,坡道平面,26.4,0
前金區,房地(土地+建物),高雄市前金區七賢二路３６６號三樓之５,9.64,1140421,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850802,115.49,2,2,2,有,有,6980000,60438,,0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區青年一路２８號四樓之２,18.65,1140412,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,770212,151,3,2,2,有,有,13080000,86623,坡道平面,0,0
苓雅區,房地(土地+建物),高雄市苓雅區苓南路７號８樓之１,4.47,1140409,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830128,46.87,1,1,1,有,有,3550000,75741,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區一心二路１９７號十樓,4.3,1140407,土地1建物1車位0,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130902,86.07,2,1,2,有,有,9650000,112118,,0,0
三民區,房地(土地+建物),高雄市三民區建興路３６５巷１號十四樓之５,4.26,1140409,土地1建物1車位0,十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091102,65.36,2,1,1,有,有,7500000,114749,,0,0
三民區,房地(土地+建物),高雄市三民區灣復街１５號九樓之２,12.47,1140411,土地2建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830111,137.93,3,2,2,有,有,6300000,45675,,0,0
三民區,房地(土地+建物),高雄市三民區大豐二路４７６號七樓之２,2.49,1140419,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850729,34.2,1,1,1,有,有,2750000,80409,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區德賢路２０４號五樓,25.65,1140415,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850629,141.97,3,2,2,有,有,7500000,52828,,0,0
左營區,房地(土地+建物)+車位,高雄市左營區重立路３７９號十三樓之２,12.69,1140426,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941006,94.29,2,2,1,有,有,9300000,98632,坡道機械,8.11,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學五十六街１２７號九樓之２,16.49,1140410,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1040407,168.98,3,2,2,有,有,13100000,77524,坡道平面,29.79,0
橋頭區,房地(土地+建物)+車位,高雄市橋頭區甲樹路１２０９號八樓之１,30.64,1140415,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130822,135.89,3,2,2,有,有,14620000,109751,坡道平面,19.08,1800000
鳳山區,房地(土地+建物),高雄市鳳山區新樂街２６３巷１０號二樓,19.95,1140430,土地1建物1車位0,二層，三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850615,120.14,3,2,2,有,有,8100000,67421,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區武慶二路５６巷１１之１號,27.25,1140409,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680707,75.99,3,2,2,有,無,4700000,61850,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區北榮街１１９號,73,1140429,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,690104,128.88,6,2,3,有,無,12500000,96989,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區鳳甲路１３７巷１５號,115.86,1140403,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土,940705,312.44,5,2,5,有,有,27000000,86417,,0,0
仁武區,房地(土地+建物),高雄市仁武區九湖三街６０號,91.81,1140416,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土,1120807,281.93,5,2,6,有,無,32800000,116341,,0,0
林園區,房地(土地+建物),高雄市林園區港埔三路１１２巷７３號,64,1140429,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,840610,144.04,5,2,3,有,無,8000000,55540,,0,0
大寮區,房地(土地+建物)+車位,高雄市大寮區正氣路７３之２９號十三樓,17.99,1140402,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850520,134.97,3,2,2,有,有,6800000,50382,坡道平面,0,0
苓雅區,房地(土地+建物),高雄市苓雅區林森二路７之５號,80,1140401,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,620312,261.14,4,2,4,有,無,25500000,97649,,0,0
小港區,房地(土地+建物),高雄市小港區德文街４０巷２７號,49,1140425,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,640219,77.8,3,2,1,有,無,4300000,55270,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區自強一路１１９巷２之１號,26.5,1140406,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721210,72.01,3,2,2,有,無,4700000,65269,,0,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街１６１號二十八樓,7.49,1140416,土地1建物1車位1,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1120321,116.76,3,2,2,有,有,16880000,156046,坡道機械,18.52,1550000
鼓山區,房地(土地+建物),高雄市鼓山區鐵路街２５巷２６號,57.01,1140411,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,911204,161.02,4,1,3,有,無,7000000,43473,,0,0
前金區,房地(土地+建物)+車位,高雄市前金區自強二路３號十四樓之１,9.57,1140406,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960208,149.08,3,2,2,有,有,16350000,118777,坡道平面,25.74,1700000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路１９號,96.48,1140428,土地2建物1車位1,一層，二層,二十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,981109,656.11,0,0,0,無,有,140000000,213379,坡道平面,22.11,0
小港區,房地(土地+建物)+車位,高雄市小港區中安路８９２號八樓,31.47,1140403,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031201,190.31,3,2,2,有,有,13300000,69886,坡道平面,16.5,0
小港區,房地(土地+建物),高雄市小港區桂華街２７６號,120,1140413,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1000714,232.31,5,2,5,有,無,25160000,108304,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區復興三路１４８號六樓之１,6.43,1140405,土地4建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,791130,44.23,1,1,1,有,有,2650000,59914,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區瑞興街１０５之３號,25.8,1140421,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670307,79.73,3,2,2,有,無,5300000,66474,,0,0
左營區,房地(土地+建物),高雄市左營區新庄仔路７２４之５號,104,1140418,土地3建物1車位0,全,四層,透天厝,住商用,鋼骨鋼筋混凝土造,860605,186.66,4,2,3,有,無,31500000,168756,,0,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區惠誠街５８號,15.82,1140419,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土,1110222,119.84,0,0,0,無,有,15800000,131842,坡道平面,21.55,0
左營區,房地(土地+建物)+車位,高雄市左營區重建路５號十一樓之２,12.48,1140402,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950410,134.24,3,2,2,有,有,12600000,93862,坡道機械,15.7,0
左營區,房地(土地+建物)+車位,高雄市左營區勵志中街３６號十三樓,10.47,1140406,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1130201,117.37,1,2,1,有,有,13120000,121084,坡道平面,25.12,1950000
燕巢區,房地(土地+建物),高雄市燕巢區中民路７２２號,138.22,1140428,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,761120,111.45,3,2,2,有,無,4610240,41366,,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區頂新七街２７號十一樓,27.93,1140408,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1030210,168.64,3,2,2,有,有,9000000,53368,坡道平面,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區工協街５２號十一樓,22.43,1140421,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010502,92.3,3,1,2,有,有,5180000,56121,坡道平面,0,0
仁武區,房地(土地+建物)+車位,高雄市仁武區名山十街１６５號十二樓,16.49,1140406,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101020,90.98,2,2,1,有,有,7800000,85733,坡道機械,9.62,0
路竹區,房地(土地+建物),高雄市路竹區大社路５３２巷５０號,106.09,1140401,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1140219,198.97,5,2,5,有,無,15900000,79912,,0,0
大寮區,房地(土地+建物),高雄市大寮區鳳屏一路２７１巷３號五樓,26.9,1140405,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770921,102.35,3,2,2,有,無,2800000,27357,,0,0
林園區,房地(土地+建物),高雄市林園區港埔三路１１２巷４６弄１０號,62,1140424,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,820310,165.6,5,2,4,有,無,6800000,41063,,0,0
大寮區,房地(土地+建物)+車位,高雄市大寮區周廣街７８巷８號三樓之３,20.74,1140422,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120721,73.23,2,1,1,有,有,6880000,93951,一樓平面,13.72,0
鼓山區,房地(土地+建物),高雄市鼓山區鼓山一路１２７巷２號之１九樓之１,8.65,1140406,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740419,86.21,3,2,2,有,有,4160000,48254,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區武慶一路２之１號三樓,9.37,1140416,土地2建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841219,53.67,3,2,2,有,有,2000000,37272,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區光復路一段１８９號,110,1140402,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,710602,295,4,1,4,有,無,28000000,94915,,0,0
前金區,房地(土地+建物),高雄市前金區市中一路１５號十一樓之６,8.77,1140410,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940919,109.97,2,2,1,有,有,10600000,96390,,0,0
鼓山區,房地(土地+建物),高雄市鼓山區明華路３０７號四樓之３,8.61,1140412,土地1建物1車位0,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840125,109.55,3,2,2,有,有,9100000,83067,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區中正一路１７７之２號１２樓之７,4.51,1140424,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830507,39.77,1,1,1,有,有,2436000,61252,,0,0
新興區,房地(土地+建物),高雄市新興區南華一路４３號,53,1140410,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,540514,147.9,2,2,3,有,無,12500000,84517,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區廣東一街６９巷１６號五樓,41.9,1140423,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,720714,147.42,4,2,2,有,無,8500000,57658,,0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路１４２號１１樓之１,11.6,1140409,土地2建物1車位1,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840210,148.23,3,2,2,有,有,13100000,88376,坡道機械,0,0
前鎮區,房地(土地+建物),高雄市前鎮區鎮東一街３９５巷１２號四樓之１,40.93,1140425,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671024,52.72,2,2,1,有,無,2250000,42678,,0,0
小港區,房地(土地+建物)+車位,高雄市小港區高坪二十九路１８２號四樓,40.61,1140415,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1120502,141.22,3,2,2,有,有,11100000,78601,一樓平面,13.87,0
小港區,房地(土地+建物),高雄市小港區高坪六十六路１１５巷６號,151.24,1140403,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1131018,217.64,4,2,4,有,無,22200000,102003,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區一心二路２１１巷４號,14.5,1140415,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,560601,22.52,3,2,2,有,無,3100000,137655,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區一心二路２１１巷４號,14.5,1140420,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,560601,22.52,3,2,2,有,無,3050000,135435,,0,0
小港區,房地(土地+建物),高雄市小港區高坪三十一街５７號,91.38,1140406,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,950519,150.38,4,2,3,有,無,8000000,53199,,0,0
三民區,房地(土地+建物),高雄市三民區大順二路６５３號十五樓之６,3.42,1140406,土地1建物1車位0,十五層，電梯樓梯間,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850325,39.07,1,1,1,有,有,3000000,76785,,0,0
三民區,房地(土地+建物),高雄市三民區皓東路２４６巷２２號,16.11,1140414,土地1建物1車位0,一層，二層,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,830721,113.79,3,2,3,有,有,6500000,57123,,0,0
三民區,房地(土地+建物)+車位,高雄市三民區同盟一路８１號二樓之７,10.13,1140402,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1111013,82.94,2,2,1,有,有,8000000,96455,坡道機械,6.63,0
三民區,房地(土地+建物),高雄市三民區大昌二路１２１之５號十樓之５,10.67,1140409,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,780913,120.46,3,2,2,有,有,6200000,51469,,0,0
三民區,房地(土地+建物),高雄市三民區大德街１２６號四樓,23.93,1140420,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770725,86,3,2,2,有,無,4800000,55814,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區青農路５７巷９號三樓之二,24.8,1140405,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710227,81.53,3,2,2,有,無,4330000,53109,,0,0
左營區,房地(土地+建物),高雄市左營區重上街５８號八樓之２,7.88,1140419,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940202,90.88,2,1,1,有,有,8260000,90889,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區興泰街２９號,77,1140423,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,690910,121.28,3,2,3,有,無,13500000,111313,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區惠民路１７４之４號,22.3,1140420,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701214,75.76,3,0,3,有,無,4300000,56758,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區惠民路１７４之５號,22.3,1140420,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701214,75.76,3,0,3,有,無,4200000,55438,,0,0
岡山區,房地(土地+建物),高雄市岡山區信義里健鷹南路５６巷６號　　　　　,34.8,1140426,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,650317,47.21,7,2,4,有,無,4500000,95319,,0,0
岡山區,房地(土地+建物),高雄市岡山區育樂巷４８號,93.71,1140421,土地26建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,880623,109.2,4,2,7,有,無,6080000,55678,,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳林路９９之２號五樓之２,8.29,1140421,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840829,102.08,2,1,2,有,有,4700000,46042,升降機械,0,0
大樹區,房地(土地+建物)+車位,高雄市大樹區九大路５６６號二樓之６,33.48,1140420,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1130821,110.19,3,2,2,有,有,9100000,80654,一樓平面,15.34,1450000
鳳山區,房地(土地+建物)+車位,高雄市鳳山區經武路１５３號五樓之２,21.49,1140403,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1130219,148.95,3,2,2,有,有,15200000,102048,坡道平面,34.36,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳東二街６５號二樓,27.29,1140412,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1131113,95.22,2,2,2,有,有,8100000,85066,升降機械,7.07,0
鳳山區,房地(土地+建物),高雄市鳳山區南華路３０之３號,99,1140423,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,681016,201.45,6,1,3,有,無,6500000,32266,,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區龍成路３４巷３０號十樓,11.79,1140402,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1040508,115.68,2,2,1,有,有,10750000,92929,坡道平面,25.6,0
仁武區,房地(土地+建物),高雄市仁武區後港巷７７弄３６號十一樓之３,9.87,1140410,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860709,78.3,2,2,1,有,有,5160000,65900,,0,0
鳥松區,房地(土地+建物),高雄市鳥松區昌發街１２巷７號,63,1140409,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,830307,170.31,6,2,4,有,無,9000000,52845,,0,0
仁武區,房地(土地+建物),高雄市仁武區名山十街４７號,81.21,1140404,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,971124,191.33,5,2,3,有,無,17700000,92510,,0,0
大社區,房地(土地+建物),高雄市大社區大仁路５巷２號,73.82,1140421,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,780401,111.6,2,2,2,有,無,2500000,22401,,0,0
湖內區,房地(土地+建物),高雄市湖內區信義路３８０巷２弄２７號,72.06,1140404,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,700507,85.6,5,2,2,有,無,4600000,53738,,0,0
大寮區,房地(土地+建物),高雄市大寮區進學路１１８巷５０號二樓之１,20.54,1140405,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710820,60.4,2,2,1,有,無,2710000,44868,,0,0
林園區,房地(土地+建物),高雄市林園區西溪路４號三樓之８,16.16,1140429,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830721,66.02,1,2,1,有,無,1450000,21963,,0,0
新興區,房地(土地+建物)+車位,高雄市新興區自立二路９６號十五樓,9.25,1140430,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050617,131.87,4,2,2,有,有,12500000,94790,坡道平面,19.95,0
鳳山區,房地(土地+建物),高雄市鳳山區樂園街１３１之１號,24.37,1140418,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740816,101.78,3,2,2,有,無,4800000,47161,,0,0
鼓山區,房地(土地+建物),高雄市鼓山區鼓山三路１１之２５號,75.23,1140417,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,850913,213.81,4,2,4,有,無,18500000,86525,,0,0
新興區,房地(土地+建物)+車位,高雄市新興區仁愛一街８６號十一樓之１,6.86,1140408,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1091116,92.2,2,2,1,有,有,11000000,119306,塔式車位,8.22,0
新興區,房地(土地+建物),高雄市新興區開封路７７號,67,1140427,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,630223,193.62,7,7,8,有,無,21800000,112592,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區崗山中街１０２巷４７號,50,1140420,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,740215,87.6,6,1,4,有,無,7100000,81050,,0,0
小港區,房地(土地+建物),高雄市小港區高坪六十六路１１５巷５３號,119.64,1140401,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1131112,205.17,5,2,5,有,無,18280000,89097,,0,0
前鎮區,房地(土地+建物)+車位,高雄市前鎮區林森四路２２８號二十九樓,6.77,1140416,土地4建物1車位1,二十九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1130330,123.17,2,1,1,有,有,13800000,132967,坡道平面,32.17,1700000
前鎮區,房地(土地+建物),高雄市前鎮區瑞興街１１１巷１２號五樓,24.27,1140410,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1130523,78.31,1,1,2,有,有,9000000,114928,,0,0
三民區,房地(土地+建物),高雄市三民區愛國路９９號九樓之２２,3.18,1140417,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,950726,15.67,1,1,1,有,有,1380000,88066,,0,0
三民區,房地(土地+建物),高雄市三民區正忠路７５號四樓之４,3.56,1140413,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821120,35.26,1,1,1,有,有,2880000,81679,,0,0
三民區,房地(土地+建物)+車位,高雄市三民區建工路７８６號十樓,16.26,1140420,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960131,95.29,2,2,1,有,有,9600000,100745,坡道機械,7,0
三民區,房地(土地+建物),高雄市三民區大豐一路８９巷７１弄５號二樓之２,39.16,1140421,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680106,78.75,3,2,2,有,無,4250000,53968,,0,0
三民區,房地(土地+建物),高雄市三民區鼎華路１７８號十四樓之１,8.73,1140404,土地1建物1車位0,十四層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840419,87.44,3,2,2,有,有,6600000,75480,,0,0
三民區,房地(土地+建物),高雄市三民區大順二路６８９巷１４號,73.15,1140410,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,670712,132.63,4,5,4,有,無,13500000,101787,,0,0
三民區,房地(土地+建物),高雄市三民區褒揚街２１８號五樓之５,12.12,1140416,土地2建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831228,165.98,3,2,2,有,有,9000000,54223,,0,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區興泰街６０號九樓,25.41,1140409,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1131107,174.35,2,1,2,有,有,17600000,113771,坡道平面,30.64,1250000
楠梓區,房地(土地+建物),高雄市楠梓區後昌路１０６８號二樓之３,26.16,1140426,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700803,79.26,2,1,1,有,無,4380000,55261,,0,0
