抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/9793VS?breadcrumb=list,＊陳平國小三房＋平面車位鑫園佳家福-NO...,台中市北屯區平德路,華廈,31.7年,建坪 51.36,主 + 陽35.45,4樓/8樓,3房2廳2衛,有裝潢前後陽台有陽台有 194 人也在關注這間👀,"1,480萬","1,380","1,480萬1,380萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/6881MJ?breadcrumb=list,北屯三房平車聚佳捷作,台中市北屯區敦富十街,大樓,5.4年,建坪 47.17,主 + 陽23.99,3樓/12樓,3房2廳2衛,有裝潢前後陽台有陽台有 585 人也在關注這間👀,"1,888萬","1,668","1,888萬1,668萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/7801HJ?breadcrumb=list,昌祐閱灣河畔視野兩房平車,台中市太平區旱溪東路二段,大樓,1.0年,建坪 37.28,主 + 陽16.37,13樓/13樓,2房2廳1衛,有景觀前後陽台有陽台有 378 人也在關注這間👀,"1,498萬","1,290","1,498萬1,290萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/5688ZZ?breadcrumb=list,達麗世紀現隔三房高樓平車世紀雙星,台中市北屯區文心路四段,大樓,8.6年,建坪 62.7,主 + 陽32.76,16樓/28樓,3房2廳2衛,有裝潢有陽台廁所開窗有 238 人也在關注這間👀,"3,098萬","2,888","3,098萬2,888萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/4912PX?breadcrumb=list,坐擁西屯視野★臻愛三房赫里翁臻愛,台中市西屯區環中路二段,大樓,7.0年,建坪 44.72,主 + 陽23.09,28樓/29樓,3房2廳2衛,有裝潢有景觀有陽台有 380 人也在關注這間👀,"2,180萬","1,998","2,180萬1,998萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/4816CH?breadcrumb=list,全新｜勤美｜景觀精品宅,台中市西區臺灣大道二段,大樓,1.1年,建坪 33.48,主 + 陽15.12,11樓/14樓,2房2廳1衛,有陽台廁所開窗房間皆有窗有 1205 人也在關注這間👀,"1,980萬","1,799","1,980萬1,799萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/1285PJ?breadcrumb=list,Ｍ３園道旁高樓帝王視野戶親家M3,台中市南區工學北路,大樓,11.1年,建坪 50.09,主 + 陽25.33,22樓/26樓,3房2廳2衛,有裝潢有景觀廁所開窗有 256 人也在關注這間👀,"2,088萬","1,970","2,088萬1,970萬",坡道平面車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/8263KG?breadcrumb=list,大降！熊貓建設四房雙車位熊貓國寶,台中市南屯區大墩十一街,大樓,31.4年,建坪 67.86,主 + 陽51.6,4樓/14樓,4房2廳2衛1室,有裝潢有景觀有陽台有 414 人也在關注這間👀,"1,888萬","1,738","1,888萬1,738萬",兩個以上車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/1614HZ?breadcrumb=list,急！南區大兩房兩衛附車位ROOM28,台中市南區大慶街一段,大樓,17.3年,建坪 36.81,主 + 陽23.06,7樓/12樓,2房2廳2衛,有裝潢有景觀有陽台有 1248 人也在關注這間👀,"1,558萬","1,418","1,558萬1,418萬",坡道機械車位,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/6570QN?breadcrumb=list,綠園道有景觀朋莊,台中市南區南和路,大樓,30.7年,建坪 33.55,主 + 陽24.93,10樓/22樓,2房2廳2衛,有裝潢有景觀前後陽台有 773 人也在關注這間👀,"1,088萬",888,"1,088萬888萬",,,
2025_11_24 10_03_23,10,https://www.sinyi.com.tw//buy/house/9726BN?breadcrumb=list,柳川Ｘ美術館｜大四房平車森園邸,台中市南區三民西路,大樓,14.3年,建坪 66.44,主 + 陽35.6,8樓/15樓,4房2廳2衛,有裝潢有景觀前後陽台有 730 人也在關注這間👀,"2,852萬","2,599","2,852萬2,599萬",坡道平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/0684PF?breadcrumb=list,精銳米蘭雙主臥連號車位精銳米蘭,台中市南屯區大墩十一街,大樓,16.6年,建坪 102.91,主 + 陽53.29,5樓/15樓,3房2廳3衛1室,有裝潢前後陽台有陽台有 1742 人也在關注這間👀,"4,380萬","3,988","4,380萬3,988萬",兩個以上車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/6886MP?breadcrumb=list,國美特區值得您珍藏,台中市西區中美街,大樓,9.4年,建坪 115.71,主 + 陽57.34,11樓/11樓,3房2廳3衛,警衛管理具垃圾處理健身房有 300 人也在關注這間👀,"5,688萬","5,288","5,688萬5,288萬",兩個以上車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/2102ZQ?breadcrumb=list,專任首購南屯輕屋齡美兩房建義ATM,台中市南屯區春安路,大樓,6.0年,建坪 21.55,主 + 陽14.54,4樓/13樓,2房2廳1衛,有裝潢有陽台廁所開窗有 1044 人也在關注這間👀,880萬,830,880萬830萬,,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/7227WX?breadcrumb=list,專任西區免千萬大三房平車,台中市西區成功路,大樓,41.4年,建坪 55.57,主建物38.27,4樓/11樓,3房2廳2衛,有裝潢有陽台房間皆有窗有 1372 人也在關注這間👀,"1,105萬",938,"1,105萬938萬",升降平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/5165BC?breadcrumb=list,【西屯】僑福大三房平車位僑福,台中市西屯區臺灣大道四段,大樓,30.8年,建坪 70.35,主 + 陽48.94,4樓/20樓,3房2廳2衛,有裝潢有景觀前後陽台有 464 人也在關注這間👀,"2,150萬","1,888","2,150萬1,888萬",坡道平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/7193TY?breadcrumb=list,逢甲稀有美屋附車位U行館,台中市西屯區寶慶街,華廈,17.0年,建坪 15.61,主建物6.48,5樓/9樓,1房1廳1衛,有裝潢廁所開窗房間皆有窗有 1250 人也在關注這間👀,698萬,638,698萬638萬,升降機械車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/6015CG?breadcrumb=list,北區德化街☀️質感美宅,台中市北區德化街,公寓,43.2年,建坪 12.79,主 + 陽12.04,5樓/5樓,1房1廳1衛,有裝潢有陽台近公園有 26 人也在關注這間👀,398萬,398,398萬,,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/3552SQ?breadcrumb=list,急售鼎泰鑫聚視野衛浴開窗鼎泰鑫-聚,台中市南區建國南路一段,大樓,7.1年,建坪 41.32,主 + 陽24.68,9樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 598 人也在關注這間👀,"1,999萬","1,838","1,999萬1,838萬",坡道機械車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/2102CY?breadcrumb=list,專任俗！近捷運公園旁店住,台中市北區陝西東四街,店面/華廈,36.8年,建坪 29.51,主建物16.81,1樓/7樓,3房2廳1衛(含加蓋2廳),有裝潢警衛管理具垃圾處理有 1054 人也在關注這間👀,"1,098萬",898,"1,098萬898萬",,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/6010NV?breadcrumb=list,大台中新市三房車位高樓讚大台中新市,台中市南屯區大墩十一街,大樓,29.0年,建坪 37.3,主 + 陽24.92,9樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 194 人也在關注這間👀,"1,448萬","1,448","1,448萬",坡道機械車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/5356CW?breadcrumb=list,近北區中國醫３房二樓公寓,台中市北區德化街,公寓,42.9年,建坪 23.94,主 + 陽23.94,2樓/5樓,3房1廳2衛,有裝潢前後陽台有陽台有 61 人也在關注這間👀,698萬,698,698萬,,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/8797SQ?breadcrumb=list,黃金映象美屋看樹海景觀黃金映象,台中市西區五權西四街,大樓,25.3年,建坪 76.9,主 + 陽52.11,3樓/29樓,4房2廳3衛,有裝潢有景觀前後陽台有 253 人也在關注這間👀,"3,480萬","3,380","3,480萬3,380萬",坡道平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/8422KV?breadcrumb=list,［林裡］朝南視野三房平車,台中市南區福田一街,大樓,2.0年,建坪 55.66,主 + 陽31.37,8樓/15樓,3房2廳2衛,有景觀前後陽台有陽台有 84 人也在關注這間👀,"2,788萬","2,788","2,788萬",坡道平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/0958AS?breadcrumb=list,時光織錦朝南高樓好案時光織錦,台中市北區興進路,大樓,9.4年,建坪 59.33,主 + 陽38.78,25樓/28樓,3房2廳2衛,有裝潢有景觀前後陽台有 72 人也在關注這間👀,"2,780萬","2,780","2,780萬",坡道機械車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/1034LX?breadcrumb=list,沙鹿低總價兩房車位,台中市沙鹿區七賢南路,華廈,8.7年,建坪 30.16,主 + 陽16.76,4樓/7樓,2房2廳1衛,有裝潢前後陽台有陽台有 663 人也在關注這間👀,968萬,888,968萬888萬,坡道機械車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/0214TB?breadcrumb=list,賽茵斯稀有面園道視野美戶賽茵斯,台中市西區館前路,大樓,27.9年,建坪 108.22,主 + 陽63.68,13樓/29樓,5房2廳3衛1室,有裝潢有景觀前後陽台有 747 人也在關注這間👀,"3,988萬","3,688","3,988萬3,688萬",兩個以上車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/3419NP?breadcrumb=list,博館匯兩房平車衛浴開窗博館匯,台中市西區文化街,大樓,7.0年,建坪 37.15,主 + 陽17.86,7樓/14樓,2房2廳1衛,有裝潢有景觀前後陽台有 247 人也在關注這間👀,"2,180萬","2,030","2,180萬2,030萬",坡道平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/9383MW?breadcrumb=list,三木加拿大３房大車位三木加拿大,台中市北屯區遼寧路一段,大樓,25.8年,建坪 52.82,主 + 陽36.69,13樓/14樓,3房2廳2衛,有裝潢有景觀廁所開窗有 263 人也在關注這間👀,"1,598萬","1,498","1,598萬1,498萬",坡道機械車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/7129FR?breadcrumb=list,近科博館漂亮大四房平車位大漢望族,台中市北區美德街,大樓,32.1年,建坪 61.62,主 + 陽41.02,13樓/16樓,4房2廳2衛,有景觀前後陽台有陽台有 2148 人也在關注這間👀,"1,980萬","1,880","1,980萬1,880萬",坡道平面車位,,
2025_11_24 10_03_35,11,https://www.sinyi.com.tw//buy/house/6560LW?breadcrumb=list,近捷運宏全視野高樓三房宏全世界廣場,台中市南屯區文心路一段,大樓,30.1年,建坪 43.25,主 + 陽31.93,19樓/25樓,3房2廳2衛,有裝潢有景觀前後陽台有 621 人也在關注這間👀,"1,396萬","1,298","1,396萬1,298萬",,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/1497ZK?breadcrumb=list,逢甲公園前排視野三房平車逢甲公園廣場A,台中市西屯區西屯路二段,大樓,31.7年,建坪 51.12,主 + 陽32.11,12樓/16樓,3房2廳2衛,有裝潢有景觀警衛管理有 1119 人也在關注這間👀,"1,638萬","1,498","1,638萬1,498萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/1435SH?breadcrumb=list,中科起家厝屋況讚三房車位瑞聯天地P區,台中市西屯區福聯街,大樓,31.1年,建坪 33.18,主 + 陽24.21,11樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 722 人也在關注這間👀,"1,068萬",988,"1,068萬988萬",坡道機械車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/0843ZY?breadcrumb=list,近育仁國小興進綠園道美宅,台中市北區興進路,公寓,44.0年,建坪 24.81,主建物24.81,4樓/5樓,3房2廳2衛,有裝潢前後陽台有陽台有 401 人也在關注這間👀,758萬,658,758萬658萬,,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/0872QD?breadcrumb=list,惠宇美裝潢大四房雙平車惠宇清寬,台中市南屯區五權西路二段,大樓,17.6年,建坪 73.3,主 + 陽41.31,9樓/15樓,4房2廳2衛,有裝潢有景觀有陽台有 1080 人也在關注這間👀,"3,880萬","3,580","3,880萬3,580萬",兩個以上車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/7018NH?breadcrumb=list,超俗三房附平移車位中港世紀紅,台中市西屯區上明三街,大樓,29.9年,建坪 37.63,主 + 陽24.64,6樓/14樓,3房2廳2衛,有裝潢前後陽台有陽台有 369 人也在關注這間👀,"1,520萬","1,298","1,520萬1,298萬",坡道機械車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/5709TL?breadcrumb=list,北屯重劃區裝潢三房平車讚幸福森林,台中市北屯區太和東街,大樓,11.6年,建坪 45.72,主 + 陽24.19,3樓/12樓,3房2廳2衛,有裝潢有景觀有陽台有 435 人也在關注這間👀,"1,788萬","1,480","1,788萬1,480萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/3721KF?breadcrumb=list,中科福科國中精裝四房車位,台中市西屯區福林路,華廈,34.0年,建坪 44.8,主 + 陽33.1,3樓/7樓,4房2廳2衛,有景觀前後陽台有陽台有 413 人也在關注這間👀,"1,480萬","1,298","1,480萬1,298萬",升降機械車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/9491XK?breadcrumb=list,近國圖館大坪數四房平車位樸園,台中市南區學府路,大樓,31.0年,建坪 58.13,主 + 陽30.53,15樓/15樓,4房2廳2衛,有裝潢有景觀有陽台有 578 人也在關注這間👀,"1,488萬","1,158","1,488萬1,158萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/1288ZJ?breadcrumb=list,興大康橋☆美裝潢兩房平車佳晟興大康橋,台中市大里區祥興路,大樓,5.0年,建坪 34.9,主 + 陽17.23,4樓/14樓,2房2廳1衛,有裝潢有陽台廁所開窗有 758 人也在關注這間👀,"1,498萬","1,398","1,498萬1,398萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/7805YY?breadcrumb=list,總太２０２０美裝潢視野宅總太2020,台中市北屯區環太東路,大樓,5.3年,建坪 35.38,主 + 陽18.83,11樓/15樓,2房2廳1衛,有景觀有陽台廁所開窗有 891 人也在關注這間👀,"1,288萬","1,098","1,288萬1,098萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/7625LG?breadcrumb=list,西區【低於行情】美套房,台中市西區大仁街,華廈,30.3年,建坪 10.7,主 + 陽7.57,7樓/8樓,1房1衛,有裝潢房間皆有窗警衛管理有 693 人也在關注這間👀,368萬,320,368萬320萬,,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/2449VZ?breadcrumb=list,帥！大三房屋況好出價就談川普皇家,台中市北屯區大連路三段,華廈,33.1年,建坪 40.08,主 + 陽31.64,2樓/8樓,3房2廳2衛,有裝潢前後陽台有陽台有 765 人也在關注這間👀,"1,128萬",968,"1,128萬968萬",,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/7918ZB?breadcrumb=list,近中山醫震後高樓兩房車位森悅,台中市南區大慶街一段,大樓,17.4年,建坪 32.15,主 + 陽17.61,12樓/12樓,2房2廳1衛,有裝潢有景觀有陽台有 1358 人也在關注這間👀,"1,388萬","1,288","1,388萬1,288萬",坡道機械車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/4473QC?breadcrumb=list,世基金融視野佳商辦！！,台中市北區進化北路,辦公/大樓,34.5年,建坪 57.24,主建物38.28,13樓/20樓,1廳,有裝潢警衛管理具垃圾處理有 12 人也在關注這間👀,"1,598萬","1,598","1,598萬",坡道機械車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/0220UP?breadcrumb=list,裝潢戶＃樂好事高樓２房大城樂好事,台中市北屯區敦富二街,大樓,3.5年,建坪 38,主 + 陽18.05,11樓/11樓,2房2廳1衛,有裝潢廁所開窗房間皆有窗有 222 人也在關注這間👀,"1,658萬","1,538","1,658萬1,538萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/4981QX?breadcrumb=list,由鉅三希美大戶後棟面公園由鉅三希,台中市西屯區市政路,大樓,16.7年,建坪 130.16,主 + 陽83.77,12樓/28樓,4房2廳3衛,有裝潢有景觀前後陽台有 525 人也在關注這間👀,"7,868萬","6,480","7,868萬6,480萬",兩個以上車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/2688YU?breadcrumb=list,勝美術登峰新青安好入手勝美術-登峰,台中市西區大忠南街,大樓,18.4年,建坪 26.54,主 + 陽18.94,2樓/14樓,2房2廳1衛,有景觀有陽台警衛管理有 198 人也在關注這間👀,"1,120萬","1,120","1,120萬",,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/0706GC?breadcrumb=list,西區朝南視野裝潢三房平車寶鴻清美,台中市西區自由路一段,大樓,11.0年,建坪 52.62,主 + 陽27.32,8樓/14樓,3房2廳2衛1室,有裝潢有景觀前後陽台有 245 人也在關注這間👀,"2,150萬","2,150","2,150萬",坡道平面車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/1048XY?breadcrumb=list,圓夢園次頂樓大三房車位圓夢園,台中市西區大業路,大樓,31.8年,建坪 45.09,主 + 陽38.03,11樓/12樓,3房2廳2衛1室,有裝潢有景觀前後陽台有 104 人也在關注這間👀,"1,580萬","1,580","1,580萬",坡道機械車位,,
2025_11_24 10_03_49,12,https://www.sinyi.com.tw//buy/house/6645WL?breadcrumb=list,強！敦化公園大兩房兩衛浴大視界,台中市北屯區敦化路一段,大樓,30.3年,建坪 30.08,主 + 陽24.86,12樓/14樓,2房2廳2衛,有裝潢有陽台房間皆有窗有 82 人也在關注這間👀,960萬,960,960萬,,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/8628ZG?breadcrumb=list,漢口商圈大三房平面車位左右逢源,台中市北區太原一街,大樓,31.4年,建坪 60.78,主 + 陽38.41,6樓/14樓,3房2廳2衛,有景觀前後陽台有陽台有 241 人也在關注這間👀,"1,498萬","1,498","1,498萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/6428HB?breadcrumb=list,稀有釋出兩房平車視野戶昂峰詠青,台中市北屯區景和街,大樓,10.8年,建坪 35.16,主 + 陽18.76,8樓/12樓,2房2廳1衛,有裝潢有景觀前後陽台有 112 人也在關注這間👀,"1,458萬","1,458","1,458萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/7133ZQ?breadcrumb=list,由鉅大謙視野戶附３平車位由鉅大謙,台中市西屯區市政北七路,大樓,15.1年,建坪 118.82,主 + 陽75.44,9樓/32樓,2房2廳2衛1室,有裝潢前後陽台有陽台有 68 人也在關注這間👀,"7,200萬","7,200","7,200萬",兩個以上車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/4383PB?breadcrumb=list,聚佳大值３房平面車位,台中市太平區環中東路三段,大樓,0.4年,建坪 45.46,主 + 陽24.34,2樓/14樓,3房2廳2衛,前後陽台有陽台廁所開窗有 54 人也在關注這間👀,"1,568萬","1,438","1,568萬1,438萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/2601HM?breadcrumb=list,梅川水岸採光陽台套房平車畢卡索梅川陽明,台中市北屯區梅川東路四段,大樓/套房,30.9年,建坪 16.15,主 + 陽7.87,9樓/17樓,1房1廳1衛,有陽台警衛管理具垃圾處理有 119 人也在關注這間👀,580萬,580,580萬,坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/9601UD?breadcrumb=list,寶輝綠森活莊園美屋,台中市北屯區敦富路,大樓,0.5年,建坪 48.28,主 + 陽26.44,8樓/15樓,2房2廳2衛,有陽台廁所開窗警衛管理有 89 人也在關注這間👀,"2,768萬","2,558","2,768萬2,558萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/6329UT?breadcrumb=list,稀有鼎泰然三房雙平車位鼎泰然,台中市北屯區北屯路,大樓,8.9年,建坪 70.34,主 + 陽33.28,5樓/24樓,3房2廳2衛,有裝潢前後陽台有陽台有 138 人也在關注這間👀,"2,788萬","2,788","2,788萬",兩個以上車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/3098GY?breadcrumb=list,極品✪豐邑震後臨活路透店豐邑棕櫚泉,台中市北屯區平興街,透天/店面,22.2年,建坪 67.19,主 + 陽56.51,1-4樓/4樓,3房4廳4衛1室,有裝潢有景觀前後陽台有 180 人也在關注這間👀,"2,780萬","2,598","2,780萬2,598萬",,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/6395CF?breadcrumb=list,惠宇五十七間堂惠宇五十七間堂,台中市南屯區龍富十五路,大樓,6.8年,建坪 69.4,主 + 陽29.35,5樓/15樓,2房2廳2衛2室,有裝潢前後陽台有陽台有 237 人也在關注這間👀,"3,088萬","3,088","3,088萬",兩個以上車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/7289ST?breadcrumb=list,鄰近捷運鬧中取靜兩房平車佳泰大方,台中市南屯區南屯路二段,大樓,2.9年,建坪 39.06,主 + 陽18.3,5樓/26樓,2房2廳1衛,有裝潢前後陽台有陽台有 130 人也在關注這間👀,"1,898萬","1,898","1,898萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/1353SH?breadcrumb=list,綠意盎然全新三房２樓,台中市大里區東興路,華廈,0.4年,建坪 45.13,主 + 陽27.4,2樓/5樓,3房2廳2衛,前後陽台有陽台廁所開窗有 100 人也在關注這間👀,"1,588萬","1,438","1,588萬1,438萬",一樓平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/8361CL?breadcrumb=list,洛克斐勒大坪精美商辦,台中市北屯區崇德路一段,辦公/大樓,34.4年,建坪 195.09,主建物121.45,17樓/22樓,20室,有裝潢有景觀警衛管理有 77 人也在關注這間👀,"4,280萬","3,880","4,280萬3,880萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/6712ZX?breadcrumb=list,近中山醫、雙鐵共構大三房劃江山,台中市南區復興北路,大樓,31.0年,建坪 42.29,主 + 陽35.29,5樓/17樓,3房2廳2衛,有景觀前後陽台有陽台有 312 人也在關注這間👀,998萬,898,998萬898萬,,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/2422XJ?breadcrumb=list,瑞聯天地Ｋ區溫馨美套房,台中市西屯區福聯街,華廈,31.5年,建坪 7.48,主 + 陽4.95,3樓/7樓,1房1衛,有裝潢有陽台警衛管理有 295 人也在關注這間👀,215萬,198,215萬198萬,,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/3935VZ?breadcrumb=list,超俗！面公園設計師的家博克萊,台中市南屯區大墩七街,大樓,4.1年,建坪 35.03,主 + 陽15.91,3樓/24樓,2廳1衛1室,有裝潢有景觀有陽台有 2063 人也在關注這間👀,"1,980萬","1,780","1,980萬1,780萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/1319AR?breadcrumb=list,首選大雅科境２房有車位,台中市大雅區月祥路,華廈,1.1年,建坪 27.07,主 + 陽14.33,6樓/9樓,2房2廳1衛,有裝潢有景觀有陽台有 1044 人也在關注這間👀,"1,098萬",888,"1,098萬888萬",坡道機械車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/0517ZV?breadcrumb=list,海青五房三平車位海青,台中市西屯區青海路二段,大樓,15.2年,建坪 104.29,主 + 陽62.46,6樓/13樓,5房2廳3衛,有裝潢前後陽台有陽台有 348 人也在關注這間👀,"3,880萬","3,680","3,880萬3,680萬",兩個以上車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/0627LG?breadcrumb=list,崇德薈高樓裝潢Ｂ２平車崇德薈,台中市北屯區昌平路二段,大樓,1.5年,建坪 32.11,主 + 陽16.16,15樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 66 人也在關注這間👀,"1,880萬","1,680","1,880萬1,680萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/7635FY?breadcrumb=list,水湳鬧中取靜優質美屋全國天第-二期,台中市北屯區陳平一街,華廈,25.8年,建坪 50.99,主 + 陽30.66,2樓/8樓,3房2廳2衛,有裝潢前後陽台有陽台有 423 人也在關注這間👀,"2,180萬","1,880","2,180萬1,880萬",坡道平面車位,,
2025_11_24 10_03_59,13,https://www.sinyi.com.tw//buy/house/6593BM?breadcrumb=list,大墩學區高樓２房平面車位世紀風華,台中市南屯區黎明東街,大樓,19.8年,建坪 31.96,主 + 陽17.53,12樓/14樓,2房2廳1衛,有裝潢有景觀有陽台有 985 人也在關注這間👀,"1,580萬","1,480","1,580萬1,480萬",坡道平面車位,,
2025_11_24 10_04_10,14,https://www.sinyi.com.tw//buy/house/6360ZG?breadcrumb=list,大隱於市西屯匯全新美宅坤聯發西屯匯,台中市西屯區櫻城一街,大樓,1.0年,建坪 47.49,主 + 陽26.57,6樓/23樓,3房2廳2衛,有景觀前後陽台有陽台有 913 人也在關注這間👀,"2,980萬","2,798","2,980萬2,798萬",坡道平面車位,,
2025_11_24 10_04_10,14,https://www.sinyi.com.tw//buy/house/8232NJ?breadcrumb=list,惠宇高樓層三房平車視野戶惠宇城市遠見,台中市南屯區三和街,大樓,18.2年,建坪 58.03,主 + 陽35.26,13樓/14樓,3房2廳2衛,有裝潢有景觀有陽台有 804 人也在關注這間👀,"2,980萬","2,790","2,980萬2,790萬",坡道平面車位,,
2025_11_24 10_04_10,14,https://www.sinyi.com.tw//buy/house/0461FN?breadcrumb=list,超行情誠售遠雄質感大兩房,台中市清水區港新五路,大樓,8.2年,建坪 31.64,主 + 陽22.39,7樓/15樓,2房2廳1衛,有裝潢前後陽台有陽台有 378 人也在關注這間👀,858萬,698,858萬698萬,,,
2025_11_24 10_04_10,14,https://www.sinyi.com.tw//buy/house/6026AJ?breadcrumb=list,店長推薦俊國福岡四房誠售俊國福岡,台中市西屯區福科路,大樓,31.3年,建坪 45.84,主 + 陽38.42,8樓/15樓,4房2廳2衛,有裝潢有景觀前後陽台有 219 人也在關注這間👀,"1,428萬","1,338","1,428萬1,338萬",,,
2025_11_24 10_04_10,14,https://www.sinyi.com.tw//buy/house/6085XL?breadcrumb=list,北屯區市醫特區美墅,台中市北屯區部子路,透天,24.6年,建坪 34.59,主 + 陽28.53,1-3樓/3樓,4房3廳3衛(含加蓋2房1廳),有裝潢有景觀前後陽台有 997 人也在關注這間👀,"2,780萬","2,190","2,780萬2,190萬",一樓平面車位,,
